date,day,hour,customers,scheduled_staff,staff_count,ratio_cust_per_staff,customer_wait_avg_sec
2026-03-04,רביעי,07:00,8,2,2,4.0,33
2026-03-04,רביעי,08:00,51,3,2,25.5,147
2026-03-04,רביעי,09:00,44,3,3,14.7,103
2026-03-04,רביעי,10:00,18,2,2,9.0,48
2026-03-04,רביעי,11:00,27,2,1,27.0,173
2026-03-04,רביעי,12:00,41,2,2,20.5,123
2026-03-04,רביעי,13:00,36,3,3,12.0,85
2026-03-04,רביעי,14:00,39,3,2,19.5,114
2026-03-04,רביעי,15:00,10,2,2,5.0,53
2026-03-04,רביעי,16:00,10,2,2,5.0,52
2026-03-04,רביעי,17:00,21,2,2,10.5,61
2026-03-04,רביעי,18:00,28,2,2,14.0,82
2026-03-04,רביעי,19:00,24,3,3,8.0,63
2026-03-04,רביעי,20:00,25,2,2,12.5,85
2026-03-09,שני,07:00,11,2,2,5.5,42
2026-03-09,שני,08:00,49,3,3,16.3,98
2026-03-09,שני,09:00,46,3,3,15.3,82
2026-03-09,שני,10:00,27,2,2,13.5,86
2026-03-09,שני,11:00,18,2,2,9.0,75
2026-03-09,שני,12:00,35,2,1,35.0,230
2026-03-09,שני,13:00,41,3,3,13.7,81
2026-03-09,שני,14:00,40,3,3,13.3,99
2026-03-09,שני,15:00,20,2,2,10.0,76
2026-03-09,שני,16:00,21,2,2,10.5,58
2026-03-09,שני,17:00,21,2,2,10.5,82
2026-03-09,שני,18:00,33,2,2,16.5,87
2026-03-09,שני,19:00,34,3,3,11.3,55
2026-03-09,שני,20:00,18,2,2,9.0,53
2026-03-13,שישי,07:00,9,2,1,9.0,71
2026-03-13,שישי,08:00,49,3,3,16.3,121
2026-03-13,שישי,09:00,50,3,2,25.0,169
2026-03-13,שישי,10:00,23,2,1,23.0,140
2026-03-13,שישי,11:00,23,2,1,23.0,150
2026-03-13,שישי,12:00,33,2,1,33.0,192
2026-03-13,שישי,13:00,35,3,3,11.7,77
2026-03-13,שישי,14:00,36,3,2,18.0,118
2026-03-13,שישי,15:00,17,2,2,8.5,50
2026-03-13,שישי,16:00,14,2,2,7.0,29
2026-03-13,שישי,17:00,11,2,2,5.5,48
2026-03-13,שישי,18:00,19,2,2,9.5,47
2026-03-13,שישי,19:00,33,3,3,11.0,72
2026-03-13,שישי,20:00,36,2,2,18.0,126
2026-03-20,שישי,07:00,8,2,2,4.0,45
