תאריך,מזומן,אשראי,סה"כ,הערות
2026-02-01,0,0,0,סגור - שבת
2026-02-02,580,1120,1700,
2026-02-03,610,1290,1900,
2026-02-04,650,1250,1900,
2026-02-05,780,1520,2300,
2026-02-06,690,1410,2100,
2026-02-07,580,1020,1600,גשם + קור
2026-02-08,0,0,0,סגור - שבת
2026-02-09,520,980,1500,
2026-02-10,630,1270,1900,
2026-02-11,610,1190,1800,
2026-02-12,760,1540,2300,
2026-02-13,690,1410,2100,אירוע יום הולדת פרטי - 15 איש
2026-02-14,930,1970,2900,ולנטיינז - עמוס! הכנסה שיא
2026-02-15,0,0,0,סגור - שבת
2026-02-16,540,1060,1600,
2026-02-17,610,1190,1800,
2026-02-18,490,710,1200,גשם חזק
2026-02-19,690,1310,2000,
2026-02-20,720,1480,2200,
2026-02-21,610,1090,1700,
2026-02-22,0,0,0,סגור - שבת
2026-02-23,570,1030,1600,
2026-02-24,620,1280,1900,
2026-02-25,740,1460,2200,
2026-02-26,790,1610,2400,
2026-02-27,180,170,350,⚠️ משמרת ערב בוטלה - עובד חולה. רק בוקר. סכום נמוך מדי
2026-02-28,650,1250,1900,
