תאריך,מזומן,אשראי,סה"כ,הערות
2026-01-01,980,1520,2500,חופשה - יום חמישי עמוס
2026-01-02,1250,1850,3100,
2026-01-03,720,1080,1800,שבת - סגירה מוקדמת 14:00
2026-01-04,0,0,0,סגור - ראשון
2026-01-05,580,1220,1800,
2026-01-06,620,1280,1900,
2026-01-07,710,1490,2200,
2026-01-08,680,1420,2100,
2026-01-09,820,1580,2400,
2026-01-10,540,860,1400,גשם כל היום
2026-01-11,0,0,0,סגור - שבת (שבת מנוחה)
2026-01-12,490,910,1400,
2026-01-13,580,1020,1600,גשם
2026-01-14,650,1350,2000,
2026-01-15,720,1480,2200,
2026-01-16,780,1520,2300,
2026-01-17,510,890,1400,גשם חזק
2026-01-18,0,0,0,סגור - שבת
2026-01-19,520,880,1400,
2026-01-20,380,520,900,יום שני רגוע מאוד - צריך לבדוק למה
2026-01-21,710,1390,2100,
2026-01-22,740,1460,2200,
2026-01-23,850,1550,2400,
2026-01-24,680,1220,1900,
2026-01-25,0,0,0,סגור - שבת
2026-01-26,610,1190,1800,
2026-01-27,570,1130,1700,
2026-01-28,720,1380,2100,
2026-01-29,780,1520,2300,
2026-01-30,810,1490,2300,
2026-01-31,220,120,340,⚠️ יום שישי - סגירה 12:00 אבל הסכום נמוך מאוד. רק ₪340?? צריך לבדוק קופה
