date,pageviews,sessions,bounce_rate,avg_session_duration,source_medium,new_users,pages_per_session
20260101,187,69,0.6369,112.3,google / organic,38,2.71
20260102,66,26,0.4798,169.8,direct,16,2.54
20260103,27,10,0.4021,59.0,instagram / social,5,2.7
20260104,148,49,0.5012,177.2,direct,33,3.02
20260105,120,55,0.6391,106.1,10bis / referral,24,2.18
20260106,113,43,0.6159,158.8,direct,24,2.63
20260107,111,40,0.6307,72.1,facebook / social,23,2.77
20260108,160,58,0.6264,140.9,google / organic,40,2.76
20260109,75,30,0.5583,60.6,google / organic,15,2.5
20260110,39,15,0.6328,136.0,facebook / social,10,2.6
20260111,103,47,0.6042,115.6,instagram / social,19,2.19
20260112,91,49,0.367,151.0,google / organic,34,1.86
20260113,109,51,0.6018,84.8,facebook / social,31,2.14
20260114,71,31,0.4858,136.2,facebook / social,17,2.29
20260115,153,54,0.5184,150.9,google / organic,34,2.83
20260116,94,34,0.3641,101.2,direct,21,2.76
20260117,40,18,0.5156,78.9,google / organic,10,2.22
20260118,162,54,0.4829,130.6,google / organic,33,3.0
20260119,180,63,0.514,149.8,facebook / social,43,2.86
20260120,94,39,0.645,174.9,google / organic,24,2.41
20260121,76,33,0.4786,62.6,direct,18,2.3
20260122,101,56,0.4899,50.4,10bis / referral,38,1.8
20260123,82,44,0.6297,134.4,facebook / social,24,1.86
20260124,43,17,0.3719,115.9,facebook / social,11,2.53
20260125,87,46,0.5015,117.5,direct,19,1.89
20260126,163,54,0.549,84.6,google / organic,36,3.02
20260127,124,49,0.649,177.5,instagram / social,19,2.53
20260128,116,51,0.4221,169.0,facebook / social,24,2.27
20260129,115,42,0.4463,172.6,wolt / referral,21,2.74
20260130,118,42,0.3574,149.0,direct,23,2.81
