date,time,item,quantity,unit_price,total,payment_method,cashier
2025-12-01,08:50,סלט יווני,2,48,96,אשראי,מיכל
2025-12-01,09:38,לימונענע,1,22,22,מזומן,יוסי
2025-12-01,09:53,טוסט עם אבוקדו,1,44,44,אפל פיי,דני
2025-12-01,10:05,לאטה,1,18,18,אפל פיי,אלון
2025-12-01,11:21,לאטה,1,18,18,אשראי,יוסי
2025-12-01,15:53,אספרסו,1,12,12,ביט,מיכל
2025-12-01,17:25,בייגל סלמון,1,54,54,מזומן,אלון
2025-12-02,08:24,סנדוויץ׳ טונה,1,42,42,אפל פיי,דני
2025-12-02,08:53,לאטה,1,18,18,מזומן,מיכל
2025-12-02,14:54,קפוצ׳ינו,1,17,17,ביט,מיכל
2025-12-02,16:31,קפה הפוך,1,16,16,אשראי,אלון
2025-12-03,07:29,בייגל סלמון,1,54,54,ביט,מיכל
2025-12-03,07:48,קרואסון שוקולד,2,20,40,אשראי,נועה
2025-12-03,08:21,סלט יווני,1,48,48,אשראי,דני
2025-12-03,09:29,סמוזי מנגו,3,28,84,מזומן,דני
2025-12-03,09:56,מאפין אוכמניות,1,22,22,ביט,נועה
2025-12-03,10:22,לאטה,1,18,18,אפל פיי,דני
2025-12-03,11:39,עוגת שוקולד,1,30,30,אשראי,אלון
2025-12-03,12:14,אספרסו כפול,1,14,14,אשראי,יוסי
2025-12-03,15:10,סיני קינמון,1,24,24,אשראי,דני
2025-12-04,07:11,קרואסון חמאה,1,18,18,אשראי,דני
2025-12-04,08:10,בורקס פטריות,1,18,18,אשראי,יוסי
2025-12-04,08:38,לאטה,1,18,18,ביט,נועה
2025-12-04,09:23,קפה הפוך,1,16,16,אפל פיי,מיכל
2025-12-04,09:48,שוקו חם,2,18,36,אשראי,דני
2025-12-04,11:37,תה ירוק,1,14,14,אשראי,יוסי
2025-12-04,13:14,קפה קר,1,18,18,אשראי,אלון
2025-12-04,13:45,קפה הפוך,1,16,16,אשראי,דני
2025-12-04,14:19,בורקס תפוא״ד,1,16,16,מזומן,יוסי
2025-12-04,15:37,קרואסון חמאה,1,18,18,מזומן,נועה
2025-12-04,17:05,מים מינרליים,2,10,20,אפל פיי,אלון
2025-12-05,07:03,קפוצ׳ינו,1,17,17,אשראי,אלון
2025-12-05,07:08,לאטה,1,18,18,מזומן,אלון
2025-12-05,07:58,אייס לאטה,1,22,22,אשראי,מיכל
2025-12-05,09:05,קרואסון חמאה,1,18,18,אשראי,יוסי
2025-12-05,09:28,סנדוויץ׳ חלומי,1,46,46,מזומן,דני
2025-12-05,11:03,קרואסון חמאה,1,18,18,מזומן,יוסי
2025-12-05,12:26,סמוזי מנגו,1,28,28,ביט,נועה
2025-12-05,13:29,עוגת גבינה,3,32,96,אשראי,אלון
2025-12-05,13:34,טוסט עם אבוקדו,1,44,44,אשראי,אלון
2025-12-07,09:28,מאצ׳ה לאטה,1,24,24,ביט,נועה
2025-12-07,10:22,בורקס גבינה,2,18,36,ביט,נועה
2025-12-07,11:42,אספרסו כפול,1,14,14,אשראי,אלון
2025-12-07,13:22,אייס לאטה,1,22,22,אשראי,מיכל
2025-12-07,13:46,קרואסון חמאה,1,18,18,אשראי,אלון
2025-12-07,15:36,תה ירוק,2,14,28,אשראי,נועה
2025-12-08,08:01,קרואסון חמאה,1,18,18,אשראי,מיכל
2025-12-08,09:00,סנדוויץ׳ חלומי,2,46,92,אפל פיי,דני
2025-12-08,11:28,בורקס פטריות,1,18,18,ביט,מיכל
2025-12-08,11:29,לאטה,1,18,18,אשראי,נועה
2025-12-09,07:35,אייס לאטה,2,22,44,אשראי,נועה
2025-12-09,07:47,מים מינרליים,1,10,10,אשראי,אלון
2025-12-09,08:35,טירמיסו,1,34,34,אשראי,דני
