date,time,item,quantity,unit_price,total,payment_method,cashier
2026-01-01,07:28,סיני קינמון,3,24,72,ביט,יוסי
2026-01-01,07:47,קפוצ׳ינו,1,17,17,אשראי,נועה
2026-01-01,08:09,שוקו חם,1,18,18,אפל פיי,אלון
2026-01-01,08:32,מאצ׳ה לאטה,1,24,24,אשראי,אלון
2026-01-01,09:06,סלט יווני,1,48,48,מזומן,נועה
2026-01-01,09:14,אספרסו כפול,1,14,14,ביט,מיכל
2026-01-01,11:26,סלט קיסר,1,52,52,אשראי,מיכל
2026-01-01,17:12,ארוחת בוקר ישראלית,2,68,136,אשראי,יוסי
2026-01-02,07:18,מיץ תפוזים טרי,2,24,48,אשראי,נועה
2026-01-02,09:26,קפוצ׳ינו,1,17,17,אשראי,נועה
2026-01-02,09:58,שקשוקה,1,48,48,אפל פיי,מיכל
2026-01-02,10:32,תה ירוק,1,14,14,אשראי,דני
2026-01-02,11:30,קפוצ׳ינו,1,17,17,אפל פיי,אלון
2026-01-02,12:49,קרואסון חמאה,1,18,18,ביט,אלון
2026-01-04,07:17,שוקו קר,1,20,20,אשראי,נועה
2026-01-04,07:28,קפוצ׳ינו,1,17,17,אפל פיי,דני
2026-01-04,07:31,מיץ גזר,2,22,44,אשראי,דני
2026-01-04,08:35,בייגל סלמון,1,54,54,ביט,מיכל
2026-01-04,09:47,מיץ גזר,1,22,22,אשראי,אלון
2026-01-04,11:01,קפה הפוך,2,16,32,ביט,נועה
2026-01-04,11:10,קפוצ׳ינו,2,17,34,אשראי,מיכל
2026-01-04,11:23,קרואסון שוקולד,1,20,20,ביט,מיכל
2026-01-04,12:13,שקשוקה,1,48,48,אפל פיי,יוסי
2026-01-04,12:23,אייס קפה,1,20,20,מזומן,יוסי
2026-01-04,16:50,סנדוויץ׳ טונה,2,42,84,ביט,דני
2026-01-05,08:35,מיץ תפוזים טרי,1,24,24,ביט,נועה
2026-01-05,08:39,אספרסו,1,12,12,ביט,דני
2026-01-05,11:26,טירמיסו,2,34,68,אפל פיי,אלון
2026-01-05,11:36,אספרסו כפול,1,14,14,מזומן,יוסי
2026-01-05,11:40,שוקו חם,1,18,18,ביט,דני
2026-01-05,14:28,מאצ׳ה לאטה,1,24,24,אפל פיי,מיכל
2026-01-06,08:19,לימונענע,1,22,22,אשראי,יוסי
2026-01-06,09:27,תה נענע טרי,1,16,16,ביט,מיכל
2026-01-06,09:59,סנדוויץ׳ חלומי,1,46,46,מזומן,יוסי
2026-01-06,11:35,שוקו חם,1,18,18,מזומן,נועה
2026-01-06,11:43,סנדוויץ׳ חלומי,1,46,46,אפל פיי,מיכל
2026-01-06,11:53,סלט קיסר,1,52,52,אשראי,דני
2026-01-06,13:45,קפוצ׳ינו,1,17,17,ביט,יוסי
