תאריך עסקה,תאריך חיוב,בית עסק,תיאור,סכום,מטבע,סוג,אסמכתא
01/02/2026,12/03/2026,שופרסל דיל אבן גבירול,"שופרסל - חלב, גבינות, חמאה",488.20,₪,רגיל,C7200021
02/02/2026,12/03/2026,Uber Eats,Uber Eats - ארוחת ערב משפחתית,172.00,₪,רגיל,C7200024
03/02/2026,12/03/2026,פז יזרעאל,תדלוק רכב פרטי,295.00,₪,רגיל,C7200027
04/02/2026,12/03/2026,Netflix.com,מנוי נטפליקס,59.90,₪,רגיל,C7200029
05/02/2026,12/03/2026,Spotify Premium,מנוי ספוטיפיי משפחתי,39.90,₪,רגיל,C7200031
06/02/2026,12/03/2026,רמי לוי דרך השלום,רמי לוי - קניות שבת,412.60,₪,רגיל,C7200034
07/02/2026,12/03/2026,Wolt - שווארמה בכר,וולט - ארוחת ערב,84.00,₪,רגיל,C7200037
08/02/2026,12/03/2026,שופרסל דיל אבן גבירול,"שופרסל - סוכר חום, מים, נייר טואלט",287.40,₪,רגיל,C7200040
09/02/2026,12/03/2026,אקסטרה - תחנת דלק,סנדוויץ + קפה בדרך,38.00,₪,רגיל,C7200043
10/02/2026,12/03/2026,ChatGPT Plus,מנוי ChatGPT Plus,78.00,₪,רגיל,C7200046
11/02/2026,12/03/2026,Canva Pro,מנוי Canva,47.00,₪,רגיל,C7200049
12/02/2026,12/03/2026,Wolt - Yossi הרצוג,וולט - פגישה,162.00,₪,רגיל,C7200052
13/02/2026,12/03/2026,פרחי דנה - דיזנגוף,פרחים לוולנטיינס (לדלית),180.00,₪,רגיל,C7200055
14/02/2026,12/03/2026,מסעדת מסה - שינקין,ערב וולנטיינס (אישי),640.00,₪,רגיל,C7200058
15/02/2026,12/03/2026,סופר פארם דיזנגוף סנטר,ניקיון בית קפה + אישי,324.10,₪,רגיל,C7200061
16/02/2026,12/03/2026,שופרסל דיל אבן גבירול,"שופרסל - ביצים, גבינה צהובה, חלב",398.20,₪,רגיל,C7200064
17/02/2026,12/03/2026,פז יזרעאל,תדלוק רכב פרטי,270.00,₪,רגיל,C7200067
18/02/2026,12/03/2026,Uber Eats,Uber Eats - אוכל לבית,138.00,₪,רגיל,C7200070
19/02/2026,12/03/2026,AliExpress,AliExpress - חלקי חילוף מטחנת קפה,62.80,$,רגיל,C7200073
20/02/2026,12/03/2026,רמי לוי דרך השלום,"רמי לוי - שמן זית, סוכר, נייר אפייה",342.50,₪,רגיל,C7200076
21/02/2026,12/03/2026,אמזון.com,ספלי קרמיקה ללקוחות (10 יח'),245.00,₪,רגיל,C7200079
22/02/2026,12/03/2026,פז יזרעאל,תדלוק רכב פרטי,260.00,₪,רגיל,C7200082
23/02/2026,12/03/2026,Uber Eats,Uber Eats - ארוחת צהריים בקפה,78.00,₪,רגיל,C7200085
24/02/2026,12/03/2026,שופרסל דיל אבן גבירול,"שופרסל - מים מינרליים, מלח, פלפל",267.30,₪,רגיל,C7200088
25/02/2026,12/03/2026,ביטוח לאומי - מתן שירותי בריאות,ביטוח בריאות פרטי - דלית,412.00,₪,רגיל,C7200091
26/02/2026,12/03/2026,Wolt - שיפודים בעיר העתיקה,וולט - ארוחה,92.00,₪,רגיל,C7200094
27/02/2026,12/03/2026,פז יזרעאל,תדלוק רכב פרטי,285.00,₪,רגיל,C7200097
28/02/2026,12/03/2026,סופר פארם דיזנגוף סנטר,אישי + סבון לקפה,198.40,₪,רגיל,C7200100
28/02/2026,12/03/2026,כאל - כרטיס אשראי,דמי כרטיס חודשיים,23.00,₪,רגיל,C7200120
28/02/2026,12/03/2026,"סה""כ חיוב לחשבון",סך חיוב חודש פברואר 2026,6649.30,₪,סיכום,C7200199
