תאריך עסקה,תאריך חיוב,בית עסק,תיאור,סכום,מטבע,סוג,אסמכתא
02/01/2026,12/02/2026,שופרסל דיל אבן גבירול,"שופרסל - חלב, סוכר, מלפפונים",412.30,₪,רגיל,C7100021
03/01/2026,12/02/2026,Wolt - Yossi הרצוג,וולט - הזמנה אישית מסעדה,118.00,₪,רגיל,C7100024
04/01/2026,12/02/2026,מטרו דיזנגוף,כרטיסיית רב-קו,100.00,₪,רגיל,C7100027
05/01/2026,12/02/2026,רמי לוי דרך השלום,רמי לוי - קניות,287.40,₪,רגיל,C7100029
06/01/2026,12/02/2026,Uber Eats,Uber Eats - חומוס אבו גוש,76.00,₪,רגיל,C7100033
07/01/2026,12/02/2026,סופר פארם דיזנגוף סנטר,"סבון ידיים, מגבונים, חומרי ניקוי",184.90,₪,רגיל,C7100037
08/01/2026,12/02/2026,אייס קפה - דיזנגוף,כוסות חד פעמיות (חירום),94.00,₪,רגיל,C7100039
09/01/2026,12/02/2026,פז יזרעאל,תדלוק רכב פרטי,320.00,₪,רגיל,C7100042
10/01/2026,12/02/2026,Netflix.com,מנוי נטפליקס,59.90,₪,רגיל,C7100045
11/01/2026,12/02/2026,Spotify Premium,מנוי ספוטיפיי משפחתי,39.90,₪,רגיל,C7100048
12/01/2026,12/02/2026,Wolt - Pizza Hut,וולט - פיצה (ארוחת ערב),142.00,₪,רגיל,C7100051
13/01/2026,12/02/2026,AliExpress,AliExpress - מסננת לאספרסו,48.20,$,רגיל,C7100054
14/01/2026,12/02/2026,שופרסל דיל אבן גבירול,"שופרסל - חלב, ביצים, גבינה צהובה",356.80,₪,רגיל,C7100058
15/01/2026,12/02/2026,Uber Eats,Uber Eats - סושי לבית,164.00,₪,רגיל,C7100061
16/01/2026,12/02/2026,ZAP - ציוד מטבח,מטרפת חדשה לחלב (תחליף),289.00,₪,רגיל,C7100064
17/01/2026,12/02/2026,רמי לוי דרך השלום,רמי לוי - קניות שבת,418.20,₪,רגיל,C7100067
18/01/2026,12/02/2026,פז יזרעאל,תדלוק רכב פרטי,280.00,₪,רגיל,C7100069
19/01/2026,12/02/2026,אופיס דיפו דיזנגוף,ניירות לקופה רושמת + מהדק,78.50,₪,רגיל,C7100072
20/01/2026,12/02/2026,Wolt - שיפודים בעיר העתיקה,וולט - ארוחת צהריים (אכלתי בקפה),62.00,₪,רגיל,C7100075
21/01/2026,12/02/2026,ChatGPT Plus,מנוי ChatGPT Plus,78.00,₪,רגיל,C7100078
22/01/2026,12/02/2026,Canva Pro,מנוי Canva (תפריט חדש),47.00,₪,רגיל,C7100081
23/01/2026,12/02/2026,שופרסל דיל אבן גבירול,"שופרסל - מים מינרליים, סוכר חום",298.40,₪,רגיל,C7100084
24/01/2026,12/02/2026,Uber Eats,Uber Eats - אוכל מהבית,94.00,₪,רגיל,C7100087
25/01/2026,12/02/2026,סינמה סיטי גלילות,כרטיסי קולנוע (ערב משפחתי),168.00,₪,רגיל,C7100090
26/01/2026,12/02/2026,Bookings.com,"מלון לסופ""ש בצפון (משפחה)",1450.00,₪,רגיל,C7100093
27/01/2026,12/02/2026,פז יזרעאל,תדלוק רכב פרטי,310.00,₪,רגיל,C7100096
28/01/2026,12/02/2026,רמי לוי דרך השלום,"רמי לוי - שמן זית, סוכר, ניירות",362.10,₪,רגיל,C7100099
29/01/2026,12/02/2026,Wolt - Yossi הרצוג,וולט - מסעדה (פגישה עם רואה חשבון),186.00,₪,רגיל,C7100102
30/01/2026,12/02/2026,אקסטרה - תחנת דלק,סנדוויץ׳ + שתייה בדרך,32.00,₪,רגיל,C7100105
31/01/2026,12/02/2026,סופר פארם דיזנגוף סנטר,תרופות + מוצרי טיפוח אישיים,278.40,₪,רגיל,C7100108
31/01/2026,12/02/2026,כאל - כרטיס אשראי,דמי כרטיס חודשיים,23.00,₪,רגיל,C7100120
31/01/2026,12/02/2026,"סה""כ חיוב לחשבון",סך חיוב חודש ינואר 2026,7037.90,₪,סיכום,C7100199
