תאריך תשלום,מס' תשלום,קרן הלוואה תחילה,תשלום חודשי,קרן,ריבית,יתרת קרן אחרי,סטטוס
01/02/2022,1,80000.00,1800.00,1100.00,700.00,78900.00,שולם בזמן
01/03/2022,2,80000.00,1800.00,1109.63,690.37,77790.37,שולם בזמן
01/04/2022,3,80000.00,1800.00,1119.33,680.67,76671.04,שולם בזמן
01/05/2022,4,80000.00,1800.00,1129.13,670.87,75541.91,שולם בזמן
01/06/2022,5,80000.00,1800.00,1139.01,660.99,74402.90,שולם בזמן
01/07/2022,6,80000.00,1800.00,1148.97,651.03,73253.93,שולם בזמן
01/08/2022,7,80000.00,1800.00,1159.03,640.97,72094.90,שולם בזמן
01/09/2022,8,80000.00,1800.00,1169.17,630.83,70925.73,שולם בזמן
01/10/2022,9,80000.00,1800.00,1179.40,620.60,69746.33,שולם בזמן
01/11/2022,10,80000.00,1800.00,1189.72,610.28,68556.61,שולם בזמן
01/12/2022,11,80000.00,1800.00,1200.13,599.87,67356.48,שולם בזמן
01/01/2023,12,80000.00,1800.00,1210.63,589.37,66145.85,שולם בזמן
01/02/2023,13,80000.00,1800.00,1221.22,578.78,64924.63,שולם בזמן
01/03/2023,14,80000.00,1800.00,1231.91,568.09,63692.72,שולם בזמן
01/04/2023,15,80000.00,1800.00,1242.69,557.31,62450.03,שולם בזמן
01/05/2023,16,80000.00,1800.00,1253.56,546.44,61196.47,שולם בזמן
01/06/2023,17,80000.00,1800.00,1264.53,535.47,59931.94,שולם בזמן
01/07/2023,18,80000.00,1800.00,1275.60,524.40,58656.34,שולם בזמן
01/08/2023,19,80000.00,1800.00,1286.76,513.24,57369.58,שולם בזמן
01/09/2023,20,80000.00,1800.00,1298.02,501.98,56071.56,שולם בזמן
01/10/2023,21,80000.00,1800.00,1309.37,490.63,54762.19,שולם בזמן
01/11/2023,22,80000.00,1800.00,1320.83,479.17,53441.36,שולם בזמן
01/12/2023,23,80000.00,1800.00,1332.39,467.61,52108.97,שולם בזמן
01/01/2024,24,80000.00,1800.00,1344.05,455.95,50764.92,שולם בזמן
01/02/2024,25,80000.00,1800.00,1355.81,444.19,49409.11,שולם בזמן
01/03/2024,26,80000.00,1800.00,1367.67,432.33,48041.44,שולם בזמן
01/04/2024,27,80000.00,1800.00,1379.64,420.36,46661.80,שולם בזמן
01/05/2024,28,80000.00,1800.00,1391.71,408.29,45270.09,שולם בזמן
01/06/2024,29,80000.00,1800.00,1403.89,396.11,43866.20,שולם בזמן
01/07/2024,30,80000.00,1800.00,1416.17,383.83,42450.03,שולם בזמן
01/08/2024,31,80000.00,1800.00,1428.56,371.44,41021.47,שולם בזמן
01/09/2024,32,80000.00,1800.00,1441.06,358.94,39580.41,שולם בזמן
01/10/2024,33,80000.00,1800.00,1453.67,346.33,38126.74,שולם בזמן
01/11/2024,34,80000.00,1800.00,1466.39,333.61,36660.35,שולם בזמן
01/12/2024,35,80000.00,1800.00,1479.22,320.78,35181.13,שולם בזמן
01/01/2025,36,80000.00,1800.00,1492.17,307.83,33688.96,שולם בזמן
01/02/2025,37,80000.00,1800.00,1505.22,294.78,32183.74,שולם בזמן
01/03/2025,38,80000.00,1800.00,1518.39,281.61,30665.35,שולם בזמן
01/04/2025,39,80000.00,1800.00,1531.68,268.32,29133.67,שולם בזמן
01/05/2025,40,80000.00,1800.00,1545.08,254.92,27588.59,שולם בזמן
01/06/2025,41,80000.00,1800.00,1558.60,241.40,26029.99,שולם בזמן
01/07/2025,42,80000.00,1800.00,1572.24,227.76,24457.75,שולם בזמן
01/08/2025,43,80000.00,1800.00,1585.99,214.01,22871.76,שולם בזמן
01/09/2025,44,80000.00,1800.00,1599.87,200.13,21271.89,שולם בזמן
01/10/2025,45,80000.00,1800.00,1613.87,186.13,19658.02,שולם בזמן
01/11/2025,46,80000.00,1800.00,1627.99,172.01,18030.03,שולם בזמן
01/12/2025,47,80000.00,1800.00,1642.24,157.76,16387.79,שולם בזמן
01/01/2026,48,80000.00,1800.00,1656.61,143.39,14731.18,שולם בזמן
01/02/2026,49,80000.00,1800.00,1671.10,128.90,13060.08,שולם באיחור 3 ימים
01/03/2026,50,80000.00,1800.00,1685.72,114.28,11374.36,שולם באיחור 8 ימים
01/04/2026,51,80000.00,1800.00,1700.47,99.53,9673.89,שולם באיחור 12 ימים + הודעת אזהרה מהבנק
01/05/2026,52,80000.00,1800.00,1715.35,84.65,7958.54,טרם שולם - בפיגור
01/06/2026,53,80000.00,1800.00,1730.36,69.64,6228.18,עתידי
01/07/2026,54,80000.00,1800.00,1745.50,54.50,4482.68,עתידי
01/08/2026,55,80000.00,1800.00,1760.78,39.22,2721.90,עתידי
01/09/2026,56,80000.00,1800.00,1776.18,23.82,945.72,עתידי
01/10/2026,57,80000.00,954.00,945.72,8.28,0.00,עתידי
