חודש,תאריך משיכה,סכום,אסמכתא,הערה
ינואר 2025,05/02/2025,12000.00,700050,משיכת בעלים שגרתית
פברואר 2025,05/03/2025,12000.00,700061,
מרץ 2025,05/04/2025,12000.00,700072,
אפריל 2025,06/05/2025,12000.00,700083,אחרי פסח
מאי 2025,05/06/2025,12000.00,700094,
יוני 2025,05/07/2025,12000.00,700105,
יולי 2025,05/08/2025,11000.00,700116,ירידה קלה בקיץ - תיירות נמוכה
אוגוסט 2025,05/09/2025,11000.00,700127,
ספטמבר 2025,05/10/2025,12000.00,700138,חזרה לרגיל אחרי החגים
אוקטובר 2025,05/11/2025,12000.00,700149,
נובמבר 2025,05/12/2025,10000.00,700160,החלטתי להוריד - להחזיק רזרבה לדצמבר
דצמבר 2025,05/01/2026,7000.00,700171,ירידה משמעותית - אחרי תיקון הציוד הדחוף
