רבעון,תאריך_תחילת_רבעון,פריט,הוזמן,שומש_בפועל,יחידה,מחיר_ליחידה_שח,ערך_שימוש_שח,הערה
2025-Q1,2025-01-01,נוזל כלים,18,18,ליטר,22,396,תקין
2025-Q1,2025-01-01,חומר ניקוי שיש,12,15,ליטר,38,570,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q1,2025-01-01,מטהר רצפות,14,16,ליטר,28,448,תקין
2025-Q1,2025-01-01,אקונומיקה,16,24,ליטר,14,336,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q1,2025-01-01,מטליות מיקרופייבר,30,24,יח׳,8,192,נשאר עודף
2025-Q1,2025-01-01,ספוגים,40,60,יח׳,3.5,210.0,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q1,2025-01-01,שקיות זבל גדולות,200,200,יח׳,1.2,240.0,תקין
2025-Q1,2025-01-01,נייר מגבת תעשייתי,12,16,גליל,24,384,תקין
2025-Q1,2025-01-01,כפפות חד פעמיות,500,512,יח׳,0.3,153.6,תקין
2025-Q1,2025-01-01,חומר ניקוי מכונת קפה (Cafiza),4,3,קופסה,85,255,תקין
2025-Q2,2025-04-01,נוזל כלים,18,19,ליטר,22,418,תקין
2025-Q2,2025-04-01,חומר ניקוי שיש,12,17,ליטר,38,646,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q2,2025-04-01,מטהר רצפות,14,14,ליטר,28,392,תקין
2025-Q2,2025-04-01,אקונומיקה,16,27,ליטר,14,378,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q2,2025-04-01,מטליות מיקרופייבר,30,28,יח׳,8,224,נשאר עודף
2025-Q2,2025-04-01,ספוגים,40,65,יח׳,3.5,227.5,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q2,2025-04-01,שקיות זבל גדולות,200,184,יח׳,1.2,220.8,תקין
2025-Q2,2025-04-01,נייר מגבת תעשייתי,12,14,גליל,24,336,תקין
2025-Q2,2025-04-01,כפפות חד פעמיות,500,536,יח׳,0.3,160.8,תקין
2025-Q2,2025-04-01,חומר ניקוי מכונת קפה (Cafiza),4,4,קופסה,85,340,תקין
2025-Q3,2025-07-01,נוזל כלים,18,17,ליטר,22,374,תקין
2025-Q3,2025-07-01,חומר ניקוי שיש,12,15,ליטר,38,570,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q3,2025-07-01,מטהר רצפות,14,15,ליטר,28,420,תקין
2025-Q3,2025-07-01,אקונומיקה,16,23,ליטר,14,322,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q3,2025-07-01,מטליות מיקרופייבר,30,25,יח׳,8,200,נשאר עודף
2025-Q3,2025-07-01,ספוגים,40,62,יח׳,3.5,217.0,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q3,2025-07-01,שקיות זבל גדולות,200,198,יח׳,1.2,237.6,תקין
2025-Q3,2025-07-01,נייר מגבת תעשייתי,12,17,גליל,24,408,תקין
2025-Q3,2025-07-01,כפפות חד פעמיות,500,583,יח׳,0.3,174.9,תקין
2025-Q3,2025-07-01,חומר ניקוי מכונת קפה (Cafiza),4,4,קופסה,85,340,תקין
2025-Q4,2025-10-01,נוזל כלים,18,18,ליטר,22,396,תקין
2025-Q4,2025-10-01,חומר ניקוי שיש,12,18,ליטר,38,684,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q4,2025-10-01,מטהר רצפות,14,15,ליטר,28,420,תקין
2025-Q4,2025-10-01,אקונומיקה,16,25,ליטר,14,350,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q4,2025-10-01,מטליות מיקרופייבר,30,27,יח׳,8,216,נשאר עודף
2025-Q4,2025-10-01,ספוגים,40,58,יח׳,3.5,203.0,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2025-Q4,2025-10-01,שקיות זבל גדולות,200,191,יח׳,1.2,229.2,תקין
2025-Q4,2025-10-01,נייר מגבת תעשייתי,12,16,גליל,24,384,תקין
2025-Q4,2025-10-01,כפפות חד פעמיות,500,573,יח׳,0.3,171.9,תקין
2025-Q4,2025-10-01,חומר ניקוי מכונת קפה (Cafiza),4,4,קופסה,85,340,תקין
2026-Q1,2026-01-01,נוזל כלים,18,18,ליטר,22,396,תקין
2026-Q1,2026-01-01,חומר ניקוי שיש,12,16,ליטר,38,608,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2026-Q1,2026-01-01,מטהר רצפות,14,14,ליטר,28,392,תקין
2026-Q1,2026-01-01,אקונומיקה,16,24,ליטר,14,336,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2026-Q1,2026-01-01,מטליות מיקרופייבר,30,27,יח׳,8,216,נשאר עודף
2026-Q1,2026-01-01,ספוגים,40,63,יח׳,3.5,220.5,צריכה גבוהה משמעותית מהמתוכנן — לבדוק תהליך
2026-Q1,2026-01-01,שקיות זבל גדולות,200,194,יח׳,1.2,232.8,תקין
2026-Q1,2026-01-01,נייר מגבת תעשייתי,12,14,גליל,24,336,תקין
2026-Q1,2026-01-01,כפפות חד פעמיות,500,573,יח׳,0.3,171.9,תקין
2026-Q1,2026-01-01,חומר ניקוי מכונת קפה (Cafiza),4,4,קופסה,85,340,תקין
2026-Q2,2026-04-01,נוזל כלים,18,16,ליטר,22,352,תקין
