תאריך,תערובת_אספרסו_קג,תערובת_פילטר_קג,דקאף_קג
2025-01-01,2.89,0.68,0.15
2025-01-02,3.35,0.86,0.1
2025-01-03,3.79,1.09,0.12
2025-01-04,1.33,0.28,0.04
2025-01-05,3.94,0.96,0.2
2025-01-06,2.93,0.55,0.21
2025-01-07,2.93,0.87,0.15
2025-01-08,2.73,0.85,0.25
2025-01-09,2.97,0.56,0.18
2025-01-10,3.53,1.07,0.12
2025-01-11,1.38,0.28,0.06
2025-01-12,3.17,0.96,0.21
2025-01-13,3.5,0.55,0.11
2025-01-14,3.25,0.47,0.11
2025-01-15,3.39,0.69,0.12
2025-01-16,2.94,0.93,0.2
2025-01-17,3.84,0.91,0.2
2025-01-18,1.12,0.39,0.1
2025-01-19,3.12,1.05,0.18
2025-01-20,3.52,0.77,0.25
2025-01-21,2.89,0.84,0.24
2025-01-22,2.86,0.62,0.2
2025-01-23,3.42,0.77,0.12
2025-01-24,3.62,0.51,0.28
2025-01-25,1.07,0.28,0.09
2025-01-26,3.07,0.84,0.19
2025-01-27,3.34,0.89,0.18
2025-01-28,2.85,0.75,0.09
2025-01-29,3.28,0.96,0.11
2025-01-30,2.9,0.8,0.1
2025-01-31,3.52,0.7,0.23
2025-02-01,1.36,0.34,0.04
2025-02-02,3.5,0.99,0.26
2025-02-03,3.0,0.87,0.17
2025-02-04,3.05,0.79,0.26
2025-02-05,2.7,0.93,0.16
2025-02-06,2.67,0.67,0.15
2025-02-07,3.99,0.85,0.25
2025-02-08,1.33,0.19,0.1
2025-02-09,3.78,0.54,0.27
2025-02-10,3.23,0.93,0.11
2025-02-11,2.96,0.78,0.17
2025-02-12,2.79,0.75,0.1
2025-02-13,3.26,0.55,0.28
2025-02-14,3.28,0.58,0.19
2025-02-15,1.39,0.3,0.12
2025-02-16,3.25,0.98,0.14
2025-02-17,2.95,0.59,0.23
2025-02-18,2.88,0.47,0.16
2025-02-19,3.07,0.73,0.12
2025-02-20,3.26,0.81,0.2
2025-02-21,3.33,0.9,0.25
2025-02-22,1.39,0.35,0.12
2025-02-23,3.1,1.07,0.18
2025-02-24,2.71,0.93,0.15
2025-02-25,3.48,0.5,0.15
2025-02-26,3.25,0.71,0.27
2025-02-27,3.1,0.79,0.15
2025-02-28,4.02,0.85,0.12
2025-03-01,1.07,0.25,0.09
2025-03-02,3.03,0.5,0.25
2025-03-03,2.59,0.87,0.2
2025-03-04,2.73,0.57,0.2
2025-03-05,2.66,0.7,0.21
2025-03-06,3.07,0.62,0.14
2025-03-07,2.88,0.91,0.12
2025-03-08,1.04,0.26,0.11
2025-03-09,3.47,0.49,0.15
2025-03-10,2.76,0.48,0.26
2025-03-11,2.97,0.54,0.27
2025-03-12,3.07,0.75,0.2
2025-03-13,2.52,0.52,0.1
2025-03-14,3.05,0.53,0.13
2025-03-15,1.02,0.27,0.03
2025-03-16,3.05,0.66,0.15
2025-03-17,2.83,0.48,0.14
2025-03-18,3.14,0.6,0.17
2025-03-19,2.52,0.63,0.14
2025-03-20,2.4,0.77,0.27
2025-03-21,3.06,0.87,0.17
2025-03-22,1.05,0.35,0.11
2025-03-23,3.29,0.54,0.2
2025-03-24,3.13,0.62,0.22
2025-03-25,2.99,0.85,0.11
2025-03-26,2.84,0.55,0.16
2025-03-27,3.07,0.62,0.11
2025-03-28,2.81,0.83,0.2
2025-03-29,1.03,0.35,0.05
2025-03-30,2.78,0.77,0.18
2025-03-31,2.94,0.44,0.19
2025-04-01,2.43,0.53,0.19
2025-04-02,3.0,0.81,0.14
2025-04-03,2.39,0.79,0.15
2025-04-04,2.95,0.59,0.14
2025-04-05,1.21,0.32,0.04
2025-04-06,3.26,0.68,0.27
2025-04-07,2.89,0.52,0.23
2025-04-08,3.02,0.58,0.24
2025-04-09,2.39,0.66,0.1
2025-04-10,2.44,0.61,0.24
2025-04-11,3.48,0.47,0.26
2025-04-12,1.14,0.17,0.07
2025-04-13,3.42,0.66,0.19
2025-04-14,2.82,0.74,0.11
2025-04-15,2.42,0.56,0.19
2025-04-16,2.31,0.77,0.23
2025-04-17,2.51,0.65,0.17
2025-04-18,2.65,0.44,0.13
2025-04-19,1.2,0.31,0.07
2025-04-20,3.19,0.92,0.16
2025-04-21,2.65,0.71,0.13
2025-04-22,2.37,0.51,0.27
2025-04-23,2.33,0.73,0.19
2025-04-24,2.71,0.79,0.2
2025-04-25,3.04,0.82,0.11
2025-04-26,1.07,0.26,0.1
2025-04-27,2.76,0.47,0.15
2025-04-28,2.95,0.44,0.11
2025-04-29,2.49,0.58,0.25
2025-04-30,2.55,0.52,0.18
2025-05-01,3.15,0.66,0.24
2025-05-02,2.93,0.51,0.24
2025-05-03,1.13,0.33,0.1
2025-05-04,3.39,0.63,0.23
2025-05-05,2.95,0.45,0.2
2025-05-06,3.06,0.41,0.19
2025-05-07,2.7,0.64,0.16
2025-05-08,3.13,0.45,0.13
2025-05-09,2.96,0.57,0.26
2025-05-10,1.16,0.33,0.08
2025-05-11,3.25,0.78,0.24
2025-05-12,2.49,0.63,0.1
2025-05-13,3.06,0.86,0.18
2025-05-14,2.65,0.58,0.25
2025-05-15,3.11,0.7,0.24
2025-05-16,3.07,0.87,0.09
