שבוע,תאריך_תחילת_שבוע,מלאי_כוסות_קטנות,מלאי_כוסות_גדולות_takeaway,מלאי_מכסים,מלאי_שרוולים,צריכת_קטנות,צריכת_גדולות_takeaway,צריכת_מכסים,צריכת_שרוולים
2026-W01,2026-01-04,2408,2601,2488,1554,292,399,412,246
2026-W02,2026-01-11,2111,2192,2055,1294,297,409,433,260
2026-W03,2026-01-18,1778,1729,1569,1017,333,463,486,277
2026-W04,2026-01-25,1438,1282,1128,756,340,447,441,261
2026-W05,2026-02-01,2624,2321,2148,1465,314,461,480,291
2026-W06,2026-02-08,2264,1829,1665,1121,360,492,483,344
2026-W07,2026-02-15,1917,1341,1152,840,347,488,513,281
2026-W08,2026-02-22,1583,841,618,476,334,500,534,364
2026-W09,2026-03-01,2737,1805,1562,1681,346,536,556,395
2026-W10,2026-03-08,2401,1298,1030,1330,336,507,532,351
2026-W11,2026-03-15,2055,728,484,978,346,570,546,352
2026-W12,2026-03-22,1724,957,730,657,331,571,554,321
2026-W13,2026-03-29,2940,1881,1614,1323,284,576,616,334
2026-W14,2026-04-05,2587,1332,1023,914,353,549,591,409
2026-W15,2026-04-12,2241,756,445,496,346,576,578,418
2026-W16,2026-04-19,1891,931,627,660,350,625,618,436
2026-W17,2026-04-26,3067,1849,1512,1236,324,582,615,424
2026-W18,2026-05-03,2709,1197,881,825,358,652,631,411
2026-W19,2026-05-10,2403,535,206,357,306,662,675,468
2026-W20,2026-05-17,2067,673,348,486,336,662,658,471
2026-W21,2026-05-24,3236,2294,1986,1672,331,679,662,414
2026-W22,2026-05-31,2952,1618,1315,1203,284,676,671,469
