רבעון,תאריך_רכישה,פריט,כמות,יחידה,מחיר_ליחידה_שח,סה_כ_שח,ספק,הערה
2025-Q1,2025-02-15,ניירות מסנן V60,4,חבילה 100 יח,38,152,Espresso Shop ת״א,לקפה פילטר
2025-Q1,2025-02-15,ניירות מסנן Chemex,1,חבילה 100 יח,52,52,Espresso Shop ת״א,מעט בשימוש
2025-Q1,2025-02-15,טבליות descaling למכונה,2,צנצנת 30 טבליות,145,290,La Marzocco ישראל,כל 3 חודשים לפי הוראת יצרן
2025-Q1,2025-02-15,Cafiza – חומר ניקוי קבוצת חליטה,1,קופסה 900 גרם,95,95,La Marzocco ישראל,ניקוי backflush יומי
2025-Q1,2025-02-15,מברשות ניקוי לקבוצה,2,יח׳,35,70,La Marzocco ישראל,להחלפה כל רבעון
2025-Q1,2025-02-15,מסנני מים לטיהור (resin),1,מסנן,480,480,La Marzocco ישראל,כל חצי שנה אבל מחליפים כל רבעון בגלל מים קשים
2025-Q1,2025-02-15,חוליות גומי לקבוצה (gaskets),2,יח׳,28,56,La Marzocco ישראל,החלפה לפי שחיקה
2025-Q1,2025-02-15,שמן לטחנת קפה,1,בקבוק 250מל,65,65,Espresso Shop ת״א,
2025-Q1,2025-02-15,מברשת ניקוי לטחנה,1,יח׳,22,22,Espresso Shop ת״א,
2025-Q2,2025-05-10,ניירות מסנן V60,4,חבילה 100 יח,38,152,Espresso Shop ת״א,לקפה פילטר
2025-Q2,2025-05-10,ניירות מסנן Chemex,1,חבילה 100 יח,52,52,Espresso Shop ת״א,מעט בשימוש
2025-Q2,2025-05-10,טבליות descaling למכונה,2,צנצנת 30 טבליות,145,290,La Marzocco ישראל,כל 3 חודשים לפי הוראת יצרן
2025-Q2,2025-05-10,Cafiza – חומר ניקוי קבוצת חליטה,1,קופסה 900 גרם,95,95,La Marzocco ישראל,ניקוי backflush יומי
2025-Q2,2025-05-10,מברשות ניקוי לקבוצה,2,יח׳,35,70,La Marzocco ישראל,להחלפה כל רבעון
2025-Q2,2025-05-10,מסנני מים לטיהור (resin),1,מסנן,480,480,La Marzocco ישראל,כל חצי שנה אבל מחליפים כל רבעון בגלל מים קשים
2025-Q2,2025-05-10,חוליות גומי לקבוצה (gaskets),2,יח׳,28,56,La Marzocco ישראל,החלפה לפי שחיקה
2025-Q2,2025-05-10,שמן לטחנת קפה,1,בקבוק 250מל,65,65,Espresso Shop ת״א,
2025-Q2,2025-05-10,מברשת ניקוי לטחנה,1,יח׳,22,22,Espresso Shop ת״א,
2025-Q3,2025-08-12,ניירות מסנן V60,4,חבילה 100 יח,38,152,Espresso Shop ת״א,לקפה פילטר
2025-Q3,2025-08-12,ניירות מסנן Chemex,1,חבילה 100 יח,52,52,Espresso Shop ת״א,מעט בשימוש
2025-Q3,2025-08-12,טבליות descaling למכונה,2,צנצנת 30 טבליות,145,290,La Marzocco ישראל,כל 3 חודשים לפי הוראת יצרן
2025-Q3,2025-08-12,Cafiza – חומר ניקוי קבוצת חליטה,1,קופסה 900 גרם,95,95,La Marzocco ישראל,ניקוי backflush יומי
2025-Q3,2025-08-12,מברשות ניקוי לקבוצה,2,יח׳,35,70,La Marzocco ישראל,להחלפה כל רבעון
