תאריך,חלב_3_אחוז_ליטר,שיבולת_שועל_ליטר,שקדים_ליטר,סויה_ליטר,ללא_לקטוז_ליטר
2026-02-01,15.34,9.69,2.9,1.58,1.06
2026-02-02,15.87,8.26,3.01,1.83,0.86
2026-02-03,12.51,7.77,2.02,1.13,0.51
2026-02-04,15.85,9.83,2.31,1.78,1.08
2026-02-05,13.18,9.34,3.19,1.23,0.77
2026-02-06,13.32,9.05,2.03,1.2,0.64
2026-02-07,4.93,3.21,1.32,0.68,0.27
2026-02-08,13.85,10.31,2.08,1.01,1.07
2026-02-09,14.57,10.87,3.27,1.88,1.04
2026-02-10,13.77,9.02,2.73,1.58,1.03
2026-02-11,14.06,10.27,3.23,1.59,1.14
2026-02-12,13.64,9.64,2.47,1.08,1.3
2026-02-13,13.09,9.92,2.74,2.13,0.81
2026-02-14,3.04,3.32,0.92,0.56,0.28
2026-02-15,12.1,11.51,2.51,1.72,1.26
2026-02-16,14.28,9.23,2.44,1.85,1.36
2026-02-17,15.17,11.05,3.1,1.96,1.22
2026-02-18,15.22,11.01,2.42,1.9,1.1
2026-02-19,11.65,9.78,2.91,1.12,0.87
2026-02-20,15.97,10.23,2.31,1.06,0.52
2026-02-21,3.71,3.45,1.3,0.83,0.21
2026-02-22,11.32,10.89,2.93,1.14,0.7
2026-02-23,12.29,10.71,2.53,1.06,1.29
2026-02-24,12.34,10.18,3.04,1.62,1.1
2026-02-25,14.53,12.97,2.66,1.55,1.26
2026-02-26,11.55,10.25,2.92,1.94,1.35
2026-02-27,15.12,10.14,2.16,1.76,1.28
2026-02-28,3.31,3.9,1.06,0.64,0.46
