תאריך_הזמנה,ספק,מספר_פריטים,סכום_כולל_שח,תאריך_אספקה_מתוכנן,סטטוס
2026-01-01,מאפיית שמש,4,296.19,2026-01-02,received_ok
2026-01-01,חלב טוב,9,400.14,2026-01-02,received_short
2026-01-01,קפה ירוק,4,700.65,2026-01-03,received_ok
2026-01-01,יעקב אספקה,13,1358.22,2026-01-02,received_ok
2026-01-01,שוק הכרמל (אבו חסן),5,309.82,2026-01-02,received_short
2026-01-04,מאפיית שמש,6,502.07,2026-01-05,received_ok
2026-01-05,חלב טוב,10,925.73,2026-01-06,received_ok
2026-01-05,שוק הכרמל (אבו חסן),3,294.64,2026-01-06,received_short
2026-01-06,מאפיית שמש,6,409.81,2026-01-07,received_ok
2026-01-07,חלב טוב,9,817.59,2026-01-08,received_ok
2026-01-08,מאפיית שמש,5,471.59,2026-01-09,received_late
2026-01-08,שוק הכרמל (אבו חסן),6,144.6,2026-01-09,received_ok
2026-01-09,חלב טוב,6,496.6,2026-01-10,received_ok
2026-01-09,קפה ירוק,3,803.5,2026-01-11,received_short
2026-01-11,מאפיית שמש,6,298.49,2026-01-12,received_ok
2026-01-11,חלב טוב,10,871.05,2026-01-12,received_ok
2026-01-11,שוק הכרמל (אבו חסן),6,271.45,2026-01-12,received_ok
2026-01-14,מאפיית שמש,7,251.95,2026-01-15,received_late
2026-01-14,חלב טוב,8,1071.05,2026-01-15,received_ok
2026-01-14,שוק הכרמל (אבו חסן),4,279.12,2026-01-15,received_short
2026-01-17,מאפיית שמש,5,296.6,2026-01-18,received_ok
2026-01-17,קפה ירוק,3,627.26,2026-01-19,received_ok
2026-01-18,חלב טוב,9,1132.73,2026-01-19,received_ok
2026-01-19,שוק הכרמל (אבו חסן),6,341.63,2026-01-20,received_late
2026-01-20,מאפיית שמש,5,312.18,2026-01-21,received_ok
2026-01-21,חלב טוב,9,639.13,2026-01-22,received_ok
2026-01-23,מאפיית שמש,8,534.66,2026-01-24,received_ok
2026-01-23,שוק הכרמל (אבו חסן),5,277.92,2026-01-24,received_short
2026-01-24,חלב טוב,10,1180.14,2026-01-25,received_short
2026-01-24,קפה ירוק,4,700.28,2026-01-26,received_ok
2026-01-26,מאפיית שמש,8,466.17,2026-01-27,received_ok
2026-01-28,חלב טוב,10,733.98,2026-01-29,received_ok
2026-01-28,שוק הכרמל (אבו חסן),5,321.82,2026-01-29,received_ok
2026-01-29,מאפיית שמש,8,297.91,2026-01-30,received_ok
2026-01-30,מאפיית שמש,4,339.96,2026-01-31,received_late
2026-01-31,מאפיית שמש,6,557.53,2026-02-01,received_ok
2026-01-31,קפה ירוק,4,781.4,2026-02-02,received_short
2026-01-31,יעקב אספקה,10,1151.08,2026-02-01,received_ok
2026-01-31,שוק הכרמל (אבו חסן),7,319.65,2026-02-01,received_ok
2026-02-01,מאפיית שמש,8,425.0,2026-02-02,received_ok
2026-02-01,חלב טוב,7,954.35,2026-02-02,received_short
2026-02-03,שוק הכרמל (אבו חסן),6,215.81,2026-02-04,received_late
2026-02-04,מאפיית שמש,4,255.83,2026-02-05,received_ok
2026-02-04,חלב טוב,8,1063.99,2026-02-05,received_ok
2026-02-07,מאפיית שמש,6,589.8,2026-02-08,received_ok
2026-02-08,חלב טוב,6,1020.92,2026-02-09,received_ok
2026-02-08,קפה ירוק,3,447.58,2026-02-10,received_ok
2026-02-08,שוק הכרמל (אבו חסן),4,289.07,2026-02-09,received_ok
2026-02-10,מאפיית שמש,4,442.83,2026-02-11,received_ok
2026-02-11,מאפיית שמש,5,512.79,2026-02-12,received_ok
2026-02-11,חלב טוב,8,967.75,2026-02-12,received_short
2026-02-12,שוק הכרמל (אבו חסן),5,257.28,2026-02-13,received_ok
2026-02-13,מאפיית שמש,6,470.75,2026-02-14,received_ok
2026-02-13,חלב טוב,5,1027.23,2026-02-14,received_short
2026-02-14,קפה ירוק,2,636.33,2026-02-16,received_ok
