תאריך,ספק,פריט,הוזמן,התקבל,פער,פעולה_שננקטה
2026-01-01,חלב טוב,חלב 3%,21,17,-4,סומן ביומן — מעקב להזמנה הבאה
2026-01-01,חלב טוב,חלב שיבולת שועל,14,11,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-01,חלב טוב,חלב שקדים,27,27,0,תקין
2026-01-01,חלב טוב,חלב סויה,28,28,0,תקין
2026-01-01,חלב טוב,שמנת מתוקה,28,28,0,תקין
2026-01-02,מאפיית שמש,קרואסון חמאה,76,76,0,תקין
2026-01-02,מאפיית שמש,קרואסון שוקולד,44,44,0,תקין
2026-01-02,מאפיית שמש,מאפה גבינה,78,78,0,תקין
2026-01-04,חלב טוב,חלב 3%,24,24,0,תקין
2026-01-04,חלב טוב,חלב שיבולת שועל,28,24,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-04,חלב טוב,חלב שקדים,25,25,0,תקין
2026-01-04,חלב טוב,חלב סויה,28,28,0,תקין
2026-01-04,חלב טוב,שמנת מתוקה,14,14,0,תקין
2026-01-04,מאפיית שמש,קרואסון חמאה,67,48,-19,סומן ביומן — מעקב להזמנה הבאה
2026-01-04,מאפיית שמש,קרואסון שוקולד,25,25,0,תקין
2026-01-04,מאפיית שמש,מאפה גבינה,55,55,0,תקין
2026-01-04,קפה ירוק,פולי ערביקה,5,5,0,תקין
2026-01-04,קפה ירוק,פולי רובוסטה,2,2,0,תקין
2026-01-04,יעקב אספקה,כוסות קטנות,20,14,-6,סומן ביומן — מעקב להזמנה הבאה
2026-01-04,יעקב אספקה,כוסות גדולות take-away,64,64,0,תקין
2026-01-04,יעקב אספקה,מכסים,26,26,0,תקין
2026-01-04,יעקב אספקה,מפיות,5,5,0,תקין
2026-01-04,יעקב אספקה,סוכר לבן,5,5,0,תקין
2026-01-06,מאפיית שמש,קרואסון חמאה,67,67,0,תקין
2026-01-06,מאפיית שמש,קרואסון שוקולד,29,29,0,תקין
2026-01-06,מאפיית שמש,מאפה גבינה,55,55,0,תקין
2026-01-07,חלב טוב,חלב 3%,9,9,0,תקין
2026-01-07,חלב טוב,חלב שיבולת שועל,25,17,-8,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-07,חלב טוב,חלב שקדים,19,16,-3,סומן ביומן — מעקב להזמנה הבאה
2026-01-07,חלב טוב,חלב סויה,27,27,0,תקין
2026-01-07,חלב טוב,שמנת מתוקה,29,29,0,תקין
2026-01-08,מאפיית שמש,קרואסון חמאה,49,49,0,תקין
2026-01-08,מאפיית שמש,קרואסון שוקולד,24,24,0,תקין
2026-01-08,מאפיית שמש,מאפה גבינה,51,51,0,תקין
2026-01-10,חלב טוב,חלב 3%,28,28,0,תקין
2026-01-10,חלב טוב,חלב שיבולת שועל,14,10,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-10,חלב טוב,חלב שקדים,30,30,0,תקין
2026-01-10,חלב טוב,חלב סויה,18,18,0,תקין
2026-01-10,חלב טוב,שמנת מתוקה,15,15,0,תקין
2026-01-10,מאפיית שמש,קרואסון חמאה,28,28,0,תקין
2026-01-10,מאפיית שמש,קרואסון שוקולד,48,48,0,תקין
2026-01-10,מאפיית שמש,מאפה גבינה,31,25,-6,סומן ביומן — מעקב להזמנה הבאה
2026-01-11,קפה ירוק,פולי ערביקה,6,6,0,תקין
2026-01-11,קפה ירוק,פולי רובוסטה,7,7,0,תקין
2026-01-12,מאפיית שמש,קרואסון חמאה,60,60,0,תקין
2026-01-12,מאפיית שמש,קרואסון שוקולד,33,33,0,תקין
2026-01-12,מאפיית שמש,מאפה גבינה,50,50,0,תקין
2026-01-13,חלב טוב,חלב 3%,15,15,0,תקין
2026-01-13,חלב טוב,חלב שיבולת שועל,17,13,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-13,חלב טוב,חלב שקדים,24,24,0,תקין
2026-01-13,חלב טוב,חלב סויה,27,27,0,תקין
2026-01-13,חלב טוב,שמנת מתוקה,13,13,0,תקין
2026-01-14,מאפיית שמש,קרואסון חמאה,67,67,0,תקין
2026-01-14,מאפיית שמש,קרואסון שוקולד,34,34,0,תקין
2026-01-14,מאפיית שמש,מאפה גבינה,43,43,0,תקין
2026-01-16,חלב טוב,חלב 3%,24,24,0,תקין
2026-01-16,חלב טוב,חלב שיבולת שועל,22,22,0,תקין
2026-01-16,חלב טוב,חלב שקדים,18,18,0,תקין
2026-01-16,חלב טוב,חלב סויה,16,16,0,תקין
2026-01-16,חלב טוב,שמנת מתוקה,26,26,0,תקין
2026-01-16,מאפיית שמש,קרואסון חמאה,77,77,0,תקין
2026-01-16,מאפיית שמש,קרואסון שוקולד,78,78,0,תקין
2026-01-16,מאפיית שמש,מאפה גבינה,51,51,0,תקין
2026-01-18,מאפיית שמש,קרואסון חמאה,52,52,0,תקין
2026-01-18,מאפיית שמש,קרואסון שוקולד,52,52,0,תקין
2026-01-18,מאפיית שמש,מאפה גבינה,30,30,0,תקין
2026-01-18,קפה ירוק,פולי ערביקה,3,3,0,תקין
2026-01-18,קפה ירוק,פולי רובוסטה,7,7,0,תקין
2026-01-19,חלב טוב,חלב 3%,26,23,-3,סומן ביומן — מעקב להזמנה הבאה
2026-01-19,חלב טוב,חלב שיבולת שועל,26,26,0,תקין
2026-01-19,חלב טוב,חלב שקדים,9,7,-2,סומן ביומן — מעקב להזמנה הבאה
2026-01-19,חלב טוב,חלב סויה,13,13,0,תקין
2026-01-19,חלב טוב,שמנת מתוקה,28,28,0,תקין
2026-01-20,מאפיית שמש,קרואסון חמאה,48,48,0,תקין
2026-01-20,מאפיית שמש,קרואסון שוקולד,34,34,0,תקין
2026-01-20,מאפיית שמש,מאפה גבינה,72,72,0,תקין
2026-01-22,חלב טוב,חלב 3%,24,24,0,תקין
2026-01-22,חלב טוב,חלב שיבולת שועל,27,23,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-22,חלב טוב,חלב שקדים,8,8,0,תקין
2026-01-22,חלב טוב,חלב סויה,12,12,0,תקין
2026-01-22,חלב טוב,שמנת מתוקה,27,27,0,תקין
2026-01-22,מאפיית שמש,קרואסון חמאה,25,25,0,תקין
2026-01-22,מאפיית שמש,קרואסון שוקולד,72,72,0,תקין
2026-01-22,מאפיית שמש,מאפה גבינה,75,75,0,תקין
2026-01-24,מאפיית שמש,קרואסון חמאה,70,70,0,תקין
2026-01-24,מאפיית שמש,קרואסון שוקולד,56,56,0,תקין
2026-01-24,מאפיית שמש,מאפה גבינה,69,69,0,תקין
2026-01-25,חלב טוב,חלב 3%,25,17,-8,סומן ביומן — מעקב להזמנה הבאה
2026-01-25,חלב טוב,חלב שיבולת שועל,8,6,-2,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-25,חלב טוב,חלב שקדים,14,14,0,תקין
2026-01-25,חלב טוב,חלב סויה,11,11,0,תקין
2026-01-25,חלב טוב,שמנת מתוקה,25,25,0,תקין
2026-01-25,קפה ירוק,פולי ערביקה,8,8,0,תקין
2026-01-25,קפה ירוק,פולי רובוסטה,3,3,0,תקין
2026-01-26,מאפיית שמש,קרואסון חמאה,36,36,0,תקין
2026-01-26,מאפיית שמש,קרואסון שוקולד,45,45,0,תקין
2026-01-26,מאפיית שמש,מאפה גבינה,27,27,0,תקין
2026-01-28,חלב טוב,חלב 3%,30,30,0,תקין
2026-01-28,חלב טוב,חלב שיבולת שועל,20,20,0,תקין
2026-01-28,חלב טוב,חלב שקדים,29,29,0,תקין
2026-01-28,חלב טוב,חלב סויה,28,28,0,תקין
2026-01-28,חלב טוב,שמנת מתוקה,23,23,0,תקין
2026-01-28,מאפיית שמש,קרואסון חמאה,34,34,0,תקין
2026-01-28,מאפיית שמש,קרואסון שוקולד,79,79,0,תקין
2026-01-28,מאפיית שמש,מאפה גבינה,65,65,0,תקין
2026-01-30,מאפיית שמש,קרואסון חמאה,60,41,-19,סומן ביומן — מעקב להזמנה הבאה
2026-01-30,מאפיית שמש,קרואסון שוקולד,38,38,0,תקין
2026-01-30,מאפיית שמש,מאפה גבינה,53,53,0,תקין
2026-01-31,חלב טוב,חלב 3%,29,29,0,תקין
2026-01-31,חלב טוב,חלב שיבולת שועל,13,10,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-01-31,חלב טוב,חלב שקדים,26,26,0,תקין
2026-01-31,חלב טוב,חלב סויה,10,10,0,תקין
2026-01-31,חלב טוב,שמנת מתוקה,25,25,0,תקין
2026-02-01,מאפיית שמש,קרואסון חמאה,34,34,0,תקין
2026-02-01,מאפיית שמש,קרואסון שוקולד,56,56,0,תקין
2026-02-01,מאפיית שמש,מאפה גבינה,26,26,0,תקין
2026-02-01,קפה ירוק,פולי ערביקה,2,2,0,תקין
2026-02-01,קפה ירוק,פולי רובוסטה,8,8,0,תקין
2026-02-03,חלב טוב,חלב 3%,22,22,0,תקין
2026-02-03,חלב טוב,חלב שיבולת שועל,18,18,0,תקין
2026-02-03,חלב טוב,חלב שקדים,8,5,-3,סומן ביומן — מעקב להזמנה הבאה
2026-02-03,חלב טוב,חלב סויה,15,15,0,תקין
2026-02-03,חלב טוב,שמנת מתוקה,21,14,-7,סומן ביומן — מעקב להזמנה הבאה
2026-02-03,מאפיית שמש,קרואסון חמאה,38,38,0,תקין
2026-02-03,מאפיית שמש,קרואסון שוקולד,24,24,0,תקין
2026-02-03,מאפיית שמש,מאפה גבינה,33,33,0,תקין
2026-02-03,יעקב אספקה,כוסות קטנות,79,79,0,תקין
2026-02-03,יעקב אספקה,כוסות גדולות take-away,67,56,-11,סימנתי ליעקב — הבטיח לשלוח השלמה בהזמנה הבאה
2026-02-03,יעקב אספקה,מכסים,73,63,-10,השלמה מהמלאי הישן (גודל לא תואם — לקוחות התלוננו)
2026-02-03,יעקב אספקה,מפיות,5,5,0,תקין
2026-02-03,יעקב אספקה,סוכר לבן,8,8,0,תקין
2026-02-05,מאפיית שמש,קרואסון חמאה,51,51,0,תקין
2026-02-05,מאפיית שמש,קרואסון שוקולד,37,37,0,תקין
2026-02-05,מאפיית שמש,מאפה גבינה,23,23,0,תקין
2026-02-06,חלב טוב,חלב 3%,25,25,0,תקין
2026-02-06,חלב טוב,חלב שיבולת שועל,29,29,0,תקין
2026-02-06,חלב טוב,חלב שקדים,30,30,0,תקין
2026-02-06,חלב טוב,חלב סויה,8,8,0,תקין
2026-02-06,חלב טוב,שמנת מתוקה,18,18,0,תקין
2026-02-07,מאפיית שמש,קרואסון חמאה,35,35,0,תקין
2026-02-07,מאפיית שמש,קרואסון שוקולד,43,43,0,תקין
2026-02-07,מאפיית שמש,מאפה גבינה,64,64,0,תקין
2026-02-08,קפה ירוק,פולי ערביקה,5,5,0,תקין
2026-02-08,קפה ירוק,פולי רובוסטה,3,3,0,תקין
2026-02-09,חלב טוב,חלב 3%,15,15,0,תקין
2026-02-09,חלב טוב,חלב שיבולת שועל,12,9,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-02-09,חלב טוב,חלב שקדים,28,28,0,תקין
2026-02-09,חלב טוב,חלב סויה,17,14,-3,סומן ביומן — מעקב להזמנה הבאה
2026-02-09,חלב טוב,שמנת מתוקה,13,13,0,תקין
2026-02-09,מאפיית שמש,קרואסון חמאה,26,26,0,תקין
2026-02-09,מאפיית שמש,קרואסון שוקולד,55,55,0,תקין
2026-02-09,מאפיית שמש,מאפה גבינה,27,27,0,תקין
2026-02-11,מאפיית שמש,קרואסון חמאה,61,61,0,תקין
2026-02-11,מאפיית שמש,קרואסון שוקולד,42,42,0,תקין
2026-02-11,מאפיית שמש,מאפה גבינה,76,76,0,תקין
2026-02-12,חלב טוב,חלב 3%,22,22,0,תקין
2026-02-12,חלב טוב,חלב שיבולת שועל,18,18,0,תקין
2026-02-12,חלב טוב,חלב שקדים,10,10,0,תקין
2026-02-12,חלב טוב,חלב סויה,18,18,0,תקין
2026-02-12,חלב טוב,שמנת מתוקה,20,20,0,תקין
2026-02-13,מאפיית שמש,קרואסון חמאה,48,48,0,תקין
2026-02-13,מאפיית שמש,קרואסון שוקולד,28,28,0,תקין
2026-02-13,מאפיית שמש,מאפה גבינה,67,67,0,תקין
