תאריך,פריט,סוג_תנועה,כמות,יחידה,עובד,סיבה_הערה
2026-01-01,קרואסון חמאה,in,23,יח׳,נועה,משלוח רגיל
2026-01-01,קרואסון שוקולד,in,14,יח׳,מיכל,משלוח רגיל
2026-01-01,מאפה גבינה,in,11,יח׳,מיכל,משלוח רגיל
2026-01-01,חלב 3%,out,3.58,ליטר,מיכל,שימוש שוטף
2026-01-01,חלב 3%,out,3.58,ליטר,נועה,שימוש שוטף
2026-01-01,חלב 3%,out,3.58,ליטר,נועה,שימוש שוטף
2026-01-01,חלב שיבולת שועל,out,5.0,ליטר,נועה,שימוש שוטף
2026-01-01,חלב שיבולת שועל,out,5.0,ליטר,נועה,שימוש שוטף
2026-01-01,חלב שיבולת שועל,out,5.0,ליטר,נועה,שימוש שוטף
2026-01-01,חלב שקדים,out,1.06,ליטר,נועה,שימוש שוטף
2026-01-01,חלב שקדים,out,1.06,ליטר,מיכל,שימוש שוטף
2026-01-01,חלב שקדים,out,1.06,ליטר,מיכל,שימוש שוטף
2026-01-01,חלב סויה,out,1.05,ליטר,מיכל,שימוש שוטף
2026-01-01,חלב סויה,out,1.05,ליטר,נועה,שימוש שוטף
2026-01-01,חלב ללא לקטוז,out,0.32,ליטר,נועה,שימוש שוטף
2026-01-01,חלב ללא לקטוז,out,0.32,ליטר,נועה,שימוש שוטף
2026-01-01,חלב ללא לקטוז,out,0.32,ליטר,מיכל,שימוש שוטף
2026-01-01,שמנת מתוקה,out,0.76,ליטר,מיכל,שימוש שוטף
2026-01-01,שמנת מתוקה,out,0.76,ליטר,מיכל,שימוש שוטף
2026-01-01,פולי ערביקה,out,0.91,"ק""ג",נועה,שימוש שוטף
2026-01-01,פולי ערביקה,out,0.91,"ק""ג",מיכל,שימוש שוטף
2026-01-01,פולי ערביקה,out,0.91,"ק""ג",נועה,שימוש שוטף
2026-01-01,פולי רובוסטה,out,0.21,"ק""ג",מיכל,שימוש שוטף
2026-01-01,פולי רובוסטה,out,0.21,"ק""ג",נועה,שימוש שוטף
2026-01-01,פולי רובוסטה,out,0.21,"ק""ג",מיכל,שימוש שוטף
2026-01-01,פולי דקאף,out,0.35,"ק""ג",מיכל,שימוש שוטף
2026-01-01,קרואסון חמאה,out,11,יח׳,נועה,שימוש שוטף
2026-01-01,קרואסון חמאה,out,11,יח׳,נועה,שימוש שוטף
2026-01-01,קרואסון שוקולד,out,3,יח׳,מיכל,שימוש שוטף
2026-01-01,קרואסון שוקולד,out,3,יח׳,נועה,שימוש שוטף
2026-01-01,קרואסון שוקולד,out,3,יח׳,נועה,שימוש שוטף
2026-01-01,מאפה גבינה,out,4,יח׳,מיכל,שימוש שוטף
2026-01-01,מאפה גבינה,out,4,יח׳,מיכל,שימוש שוטף
2026-01-01,מאפה גבינה,out,4,יח׳,מיכל,שימוש שוטף
2026-01-01,לימונים,out,1.77,"ק""ג",נועה,שימוש שוטף
2026-01-01,נענע,out,1.23,צרור,נועה,שימוש שוטף
2026-01-01,נענע,out,1.23,צרור,מיכל,שימוש שוטף
2026-01-01,נענע,out,1.23,צרור,נועה,שימוש שוטף
2026-01-01,סוכר לבן,out,0.31,"ק""ג",נועה,שימוש שוטף
2026-01-01,סוכר לבן,out,0.31,"ק""ג",מיכל,שימוש שוטף
2026-01-01,סוכריות סוכר,out,42,יח׳,מיכל,שימוש שוטף
2026-01-01,סוכריות סוכר,out,42,יח׳,נועה,שימוש שוטף
2026-01-01,סוכריות סוכר,out,42,יח׳,נועה,שימוש שוטף
2026-01-01,סירופ וניל,out,0.05,בקבוק,מיכל,שימוש שוטף
2026-01-01,סירופ וניל,out,0.05,בקבוק,מיכל,שימוש שוטף
2026-01-01,סירופ וניל,out,0.05,בקבוק,נועה,שימוש שוטף
2026-01-01,סירופ קרמל,out,0.06,בקבוק,נועה,שימוש שוטף
2026-01-01,סירופ קרמל,out,0.06,בקבוק,נועה,שימוש שוטף
2026-01-01,סירופ קרמל,out,0.06,בקבוק,מיכל,שימוש שוטף
2026-01-01,כוסות קטנות,out,18,יח׳,נועה,שימוש שוטף
2026-01-01,כוסות קטנות,out,18,יח׳,מיכל,שימוש שוטף
2026-01-01,כוסות קטנות,out,18,יח׳,מיכל,שימוש שוטף
2026-01-01,כוסות גדולות take-away,out,37,יח׳,נועה,שימוש שוטף
2026-01-01,כוסות גדולות take-away,out,37,יח׳,נועה,שימוש שוטף
2026-01-01,מכסים,out,120,יח׳,מיכל,שימוש שוטף
2026-01-01,מפיות,out,1,חבילה,נועה,שימוש שוטף
2026-01-01,מפיות,out,1,חבילה,נועה,שימוש שוטף
2026-01-01,מפיות,out,1,חבילה,מיכל,שימוש שוטף
2026-01-01,שקיות נייר,out,12,יח׳,נועה,שימוש שוטף
2026-01-01,שקיות נייר,out,12,יח׳,מיכל,שימוש שוטף
2026-01-01,שקיות נייר,out,12,יח׳,נועה,שימוש שוטף
2026-01-02,חלב 3%,in,28,ליטר,מיכל,משלוח רגיל
2026-01-02,חלב שיבולת שועל,in,15,ליטר,מיכל,משלוח רגיל — חסר מול ההזמנה
2026-01-02,קרואסון חמאה,in,23,יח׳,מיכל,משלוח רגיל
2026-01-02,קרואסון שוקולד,in,14,יח׳,מיכל,משלוח רגיל
2026-01-02,מאפה גבינה,in,12,יח׳,דני,משלוח רגיל
2026-01-02,חלב 3%,out,6.95,ליטר,מיכל,שימוש שוטף
2026-01-02,חלב 3%,out,6.95,ליטר,מיכל,שימוש שוטף
2026-01-02,חלב שיבולת שועל,out,11.04,ליטר,דני,שימוש שוטף
2026-01-02,חלב שקדים,out,1.78,ליטר,דני,שימוש שוטף
2026-01-02,חלב שקדים,out,1.78,ליטר,דני,שימוש שוטף
2026-01-02,חלב סויה,out,0.66,ליטר,דני,שימוש שוטף
2026-01-02,חלב סויה,out,0.66,ליטר,מיכל,שימוש שוטף
2026-01-02,חלב סויה,out,0.66,ליטר,דני,שימוש שוטף
2026-01-02,חלב ללא לקטוז,out,1.26,ליטר,דני,שימוש שוטף
2026-01-02,שמנת מתוקה,out,0.59,ליטר,דני,שימוש שוטף
2026-01-02,שמנת מתוקה,out,0.59,ליטר,דני,שימוש שוטף
2026-01-02,שמנת מתוקה,out,0.59,ליטר,מיכל,שימוש שוטף
2026-01-02,פולי ערביקה,out,2.38,"ק""ג",מיכל,שימוש שוטף
2026-01-02,פולי רובוסטה,out,0.45,"ק""ג",דני,שימוש שוטף
2026-01-02,פולי דקאף,out,0.36,"ק""ג",מיכל,שימוש שוטף
2026-01-02,קרואסון חמאה,out,24,יח׳,דני,שימוש שוטף
2026-01-02,קרואסון שוקולד,out,6,יח׳,מיכל,שימוש שוטף
2026-01-02,קרואסון שוקולד,out,6,יח׳,מיכל,שימוש שוטף
2026-01-02,מאפה גבינה,out,4,יח׳,דני,שימוש שוטף
2026-01-02,מאפה גבינה,out,4,יח׳,מיכל,שימוש שוטף
2026-01-02,מאפה גבינה,out,4,יח׳,דני,שימוש שוטף
2026-01-02,לימונים,out,1.27,"ק""ג",מיכל,שימוש שוטף
2026-01-02,נענע,out,1.22,צרור,מיכל,שימוש שוטף
2026-01-02,נענע,out,1.22,צרור,דני,שימוש שוטף
2026-01-02,סוכר לבן,out,0.58,"ק""ג",דני,שימוש שוטף
2026-01-02,סוכריות סוכר,out,150,יח׳,דני,שימוש שוטף
2026-01-02,סירופ וניל,out,0.07,בקבוק,דני,שימוש שוטף
2026-01-02,סירופ וניל,out,0.07,בקבוק,דני,שימוש שוטף
2026-01-02,סירופ קרמל,out,0.23,בקבוק,מיכל,שימוש שוטף
2026-01-02,כוסות קטנות,out,19,יח׳,דני,שימוש שוטף
2026-01-02,כוסות קטנות,out,19,יח׳,דני,שימוש שוטף
2026-01-02,כוסות גדולות take-away,out,24,יח׳,מיכל,שימוש שוטף
2026-01-02,כוסות גדולות take-away,out,24,יח׳,מיכל,שימוש שוטף
2026-01-02,כוסות גדולות take-away,out,24,יח׳,דני,שימוש שוטף
2026-01-02,מכסים,out,23,יח׳,מיכל,שימוש שוטף
2026-01-02,מכסים,out,23,יח׳,מיכל,שימוש שוטף
2026-01-02,מכסים,out,23,יח׳,מיכל,שימוש שוטף
2026-01-02,מפיות,out,1,חבילה,דני,שימוש שוטף
2026-01-02,מפיות,out,1,חבילה,מיכל,שימוש שוטף
2026-01-02,מפיות,out,1,חבילה,מיכל,שימוש שוטף
2026-01-02,שקיות נייר,out,14,יח׳,מיכל,שימוש שוטף
2026-01-02,שקיות נייר,out,14,יח׳,דני,שימוש שוטף
2026-01-02,שקיות נייר,out,14,יח׳,דני,שימוש שוטף
2026-01-02,פולי ערביקה,waste,0.96,"ק""ג",דני,פג תוקף
2026-01-02,נענע,waste,1.27,צרור,דני,נבל במקרר
2026-01-04,חלב 3%,in,26,ליטר,נועה,משלוח רגיל
2026-01-04,חלב שיבולת שועל,in,13,ליטר,נועה,משלוח רגיל — חסר מול ההזמנה
2026-01-04,חלב שקדים,in,11,ליטר,דני,משלוח רגיל
2026-01-04,שמנת מתוקה,in,6,ליטר,נועה,משלוח רגיל
2026-01-04,קרואסון חמאה,in,21,יח׳,מיכל,משלוח רגיל
2026-01-04,קרואסון שוקולד,in,14,יח׳,נועה,משלוח רגיל
2026-01-04,מאפה גבינה,in,13,יח׳,מיכל,משלוח רגיל
2026-01-04,לימונים,in,4,"ק""ג",מיכל,משלוח רגיל
2026-01-04,נענע,in,8,צרור,מיכל,משלוח רגיל
2026-01-04,חלב 3%,out,4.9,ליטר,דני,שימוש שוטף
2026-01-04,חלב 3%,out,4.9,ליטר,טל,שימוש שוטף
2026-01-04,חלב 3%,out,4.9,ליטר,נועה,שימוש שוטף
2026-01-04,חלב שיבולת שועל,out,3.26,ליטר,דני,שימוש שוטף
2026-01-04,חלב שיבולת שועל,out,3.26,ליטר,טל,שימוש שוטף
2026-01-04,חלב שיבולת שועל,out,3.26,ליטר,טל,שימוש שוטף
2026-01-04,חלב שקדים,out,0.86,ליטר,טל,שימוש שוטף
2026-01-04,חלב שקדים,out,0.86,ליטר,מיכל,שימוש שוטף
2026-01-04,חלב שקדים,out,0.86,ליטר,מיכל,שימוש שוטף
2026-01-04,חלב סויה,out,1.93,ליטר,דני,שימוש שוטף
2026-01-04,חלב ללא לקטוז,out,0.34,ליטר,מיכל,שימוש שוטף
2026-01-04,חלב ללא לקטוז,out,0.34,ליטר,דני,שימוש שוטף
2026-01-04,חלב ללא לקטוז,out,0.34,ליטר,טל,שימוש שוטף
2026-01-04,שמנת מתוקה,out,2.29,ליטר,נועה,שימוש שוטף
2026-01-04,פולי ערביקה,out,3.17,"ק""ג",נועה,שימוש שוטף
2026-01-04,פולי רובוסטה,out,0.3,"ק""ג",נועה,שימוש שוטף
2026-01-04,פולי רובוסטה,out,0.3,"ק""ג",טל,שימוש שוטף
2026-01-04,פולי דקאף,out,0.1,"ק""ג",נועה,שימוש שוטף
2026-01-04,פולי דקאף,out,0.1,"ק""ג",נועה,שימוש שוטף
2026-01-04,פולי דקאף,out,0.1,"ק""ג",מיכל,שימוש שוטף
