חודש,פריט,צריכה,יחידה
2025-01,סירופ וניל,3.77,בקבוק 750מל
2025-01,סירופ קרמל,5.0,בקבוק 750מל
2025-01,סירופ אגוז (hazelnut),1.96,בקבוק 750מל
2025-01,סירופ ורד,0.99,בקבוק 750מל
2025-01,סוכריות סוכר לבן,27.59,חבילה 1000 יח
2025-01,סוכריות סוכר חום,17.95,חבילה 1000 יח
2025-01,ממתיק סטיביה,8.91,חבילה 500 יח
2025-01,ממתיק סוכרזית,4.31,חבילה 500 יח
2025-01,דבש (לתה),2.74,"צנצנת 1 ק""ג"
2025-01,קקאו לפיזור,1.82,"שקית 1 ק""ג"
2025-01,קינמון לפיזור,1.05,שקית 500 גרם
2025-01,שוקולד חם בתפזורת,3.64,"ק""ג"
2025-02,סירופ וניל,4.28,בקבוק 750מל
2025-02,סירופ קרמל,5.6,בקבוק 750מל
2025-02,סירופ אגוז (hazelnut),1.83,בקבוק 750מל
2025-02,סירופ ורד,0.93,בקבוק 750מל
2025-02,סוכריות סוכר לבן,24.84,חבילה 1000 יח
2025-02,סוכריות סוכר חום,19.54,חבילה 1000 יח
2025-02,ממתיק סטיביה,9.3,חבילה 500 יח
2025-02,ממתיק סוכרזית,3.8,חבילה 500 יח
2025-02,דבש (לתה),3.33,"צנצנת 1 ק""ג"
2025-02,קקאו לפיזור,2.05,"שקית 1 ק""ג"
2025-02,קינמון לפיזור,0.98,שקית 500 גרם
2025-02,שוקולד חם בתפזורת,3.67,"ק""ג"
2025-03,סירופ וניל,4.23,בקבוק 750מל
2025-03,סירופ קרמל,4.72,בקבוק 750מל
2025-03,סירופ אגוז (hazelnut),1.87,בקבוק 750מל
2025-03,סירופ ורד,0.97,בקבוק 750מל
2025-03,סוכריות סוכר לבן,27.95,חבילה 1000 יח
2025-03,סוכריות סוכר חום,18.01,חבילה 1000 יח
2025-03,ממתיק סטיביה,8.77,חבילה 500 יח
2025-03,ממתיק סוכרזית,4.11,חבילה 500 יח
2025-03,דבש (לתה),2.74,"צנצנת 1 ק""ג"
2025-03,קקאו לפיזור,2.04,"שקית 1 ק""ג"
2025-03,קינמון לפיזור,0.89,שקית 500 גרם
2025-03,שוקולד חם בתפזורת,4.47,"ק""ג"
2025-04,סירופ וניל,4.64,בקבוק 750מל
2025-04,סירופ קרמל,5.08,בקבוק 750מל
2025-04,סירופ אגוז (hazelnut),2.22,בקבוק 750מל
2025-04,סירופ ורד,1.0,בקבוק 750מל
2025-04,סוכריות סוכר לבן,22.73,חבילה 1000 יח
2025-04,סוכריות סוכר חום,18.65,חבילה 1000 יח
2025-04,ממתיק סטיביה,10.02,חבילה 500 יח
2025-04,ממתיק סוכרזית,3.69,חבילה 500 יח
2025-04,דבש (לתה),3.05,"צנצנת 1 ק""ג"
2025-04,קקאו לפיזור,2.03,"שקית 1 ק""ג"
2025-04,קינמון לפיזור,1.1,שקית 500 גרם
2025-04,שוקולד חם בתפזורת,4.4,"ק""ג"
2025-05,סירופ וניל,4.29,בקבוק 750מל
2025-05,סירופ קרמל,5.9,בקבוק 750מל
2025-05,סירופ אגוז (hazelnut),2.13,בקבוק 750מל
2025-05,סירופ ורד,1.06,בקבוק 750מל
2025-05,סוכריות סוכר לבן,25.03,חבילה 1000 יח
2025-05,סוכריות סוכר חום,19.61,חבילה 1000 יח
2025-05,ממתיק סטיביה,9.48,חבילה 500 יח
2025-05,ממתיק סוכרזית,3.64,חבילה 500 יח
2025-05,דבש (לתה),3.26,"צנצנת 1 ק""ג"
2025-05,קקאו לפיזור,1.92,"שקית 1 ק""ג"
2025-05,קינמון לפיזור,1.07,שקית 500 גרם
2025-05,שוקולד חם בתפזורת,4.32,"ק""ג"
2025-06,סירופ וניל,4.3,בקבוק 750מל
2025-06,סירופ קרמל,5.38,בקבוק 750מל
2025-06,סירופ אגוז (hazelnut),2.05,בקבוק 750מל
2025-06,סירופ ורד,1.01,בקבוק 750מל
2025-06,סוכריות סוכר לבן,27.75,חבילה 1000 יח
2025-06,סוכריות סוכר חום,22.15,חבילה 1000 יח
2025-06,ממתיק סטיביה,10.57,חבילה 500 יח
2025-06,ממתיק סוכרזית,3.73,חבילה 500 יח
2025-06,דבש (לתה),3.26,"צנצנת 1 ק""ג"
2025-06,קקאו לפיזור,2.1,"שקית 1 ק""ג"
2025-06,קינמון לפיזור,1.02,שקית 500 גרם
2025-06,שוקולד חם בתפזורת,4.5,"ק""ג"
2025-07,סירופ וניל,4.7,בקבוק 750מל
2025-07,סירופ קרמל,5.99,בקבוק 750מל
2025-07,סירופ אגוז (hazelnut),1.93,בקבוק 750מל
2025-07,סירופ ורד,1.01,בקבוק 750מל
2025-07,סוכריות סוכר לבן,23.15,חבילה 1000 יח
