תאריך,פריט,כמות,יחידה,סיבה,ערך_שח,עובד_רשם
2026-01-01,סנדוויץ' טונה,1,יח׳,customer_return,9.0,נועה
2026-01-02,נענע (צרור),2,צרור,expired,8.0,מיכל
2026-01-02,חלב שיבולת שועל,1.42,ליטר,expired,19.88,דני
2026-01-03,קרואסון חמאה,6,יח׳,expired,27.0,מיכל
2026-01-03,נענע (צרור),2,צרור,expired,8.0,מיכל
2026-01-04,מאפה גבינה,2,יח׳,expired,11.0,נועה
2026-01-04,נענע (צרור),3,צרור,expired,12.0,נועה
2026-01-04,עוגת גזר (פרוסה),5,יח׳,expired,30.0,נועה
2026-01-04,סנדוויץ' טונה,3,יח׳,expired,27.0,דני
2026-01-04,קרואסון שוקולד,8,יח׳,dropped,40.0,מיכל
2026-01-05,סנדוויץ' חלומי,2,יח׳,over_prepared,20.0,דני
2026-01-05,חלב שקדים,3.97,ליטר,expired,63.52,טל
2026-01-05,קרואסון חמאה,8,יח׳,expired,36.0,נועה
2026-01-05,קרואסון שוקולד,2,יח׳,expired,10.0,דני
2026-01-05,מאפה גבינה,8,יח׳,expired,44.0,דני
2026-01-06,קרואסון חמאה,1,יח׳,expired,4.5,נועה
2026-01-06,עוגת שוקולד (פרוסה),7,יח׳,dropped,49.0,דני
2026-01-08,קרואסון חמאה,4,יח׳,dropped,18.0,נועה
2026-01-09,סנדוויץ' טונה,1,יח׳,expired,9.0,דני
2026-01-09,מאפה גבינה,1,יח׳,expired,5.5,מיכל
2026-01-09,חלב 3%,2.27,ליטר,expired,11.8,מיכל
2026-01-10,שמנת מתוקה,3.67,ליטר,expired,44.04,מיכל
2026-01-10,נענע (צרור),1,צרור,expired,4.0,מיכל
2026-01-10,מאפה גבינה,2,יח׳,expired,11.0,מיכל
2026-01-10,קרואסון שוקולד,1,יח׳,dropped,5.0,מיכל
2026-01-10,שמנת מתוקה,2.1,ליטר,expired,25.2,מיכל
2026-01-10,חלב שיבולת שועל,3.25,ליטר,expired,45.5,מיכל
2026-01-11,נענע (צרור),2,צרור,expired,8.0,נועה
2026-01-11,סנדוויץ' טונה,1,יח׳,over_prepared,9.0,מיכל
2026-01-11,חלב סויה,0.51,ליטר,expired,6.12,טל
2026-01-11,עוגת גזר (פרוסה),2,יח׳,expired,12.0,מיכל
2026-01-12,חלב 3%,3.62,ליטר,over_prepared,18.82,דני
2026-01-12,סנדוויץ' חלומי,3,יח׳,over_prepared,30.0,נועה
2026-01-12,סנדוויץ' חלומי,2,יח׳,expired,20.0,נועה
2026-01-13,עוגת גזר (פרוסה),5,יח׳,expired,30.0,מיכל
2026-01-13,חלב 3%,1.3,ליטר,over_prepared,6.76,נועה
2026-01-13,קרואסון שוקולד,8,יח׳,expired,40.0,נועה
2026-01-14,שמנת מתוקה,1.84,ליטר,expired,22.08,נועה
2026-01-15,קרואסון חמאה,2,יח׳,customer_return,9.0,מיכל
2026-01-16,לימונים,0.55,"ק""ג",expired,4.4,דני
2026-01-16,קרואסון חמאה,7,יח׳,expired,31.5,דני
2026-01-17,סלט יווני,1,יח׳,over_prepared,11.0,מיכל
2026-01-17,קרואסון חמאה,7,יח׳,dropped,31.5,מיכל
2026-01-17,חלב שיבולת שועל,3.03,ליטר,expired,42.42,מיכל
2026-01-17,נענע (צרור),2,צרור,expired,8.0,מיכל
2026-01-18,סנדוויץ' טונה,3,יח׳,customer_return,27.0,נועה
2026-01-20,קרואסון שוקולד,2,יח׳,expired,10.0,טל
2026-01-20,חלב סויה,3.22,ליטר,over_prepared,38.64,טל
2026-01-21,לימונים,1.43,"ק""ג",expired,11.44,נועה
2026-01-21,חלב 3%,2.58,ליטר,expired,13.42,נועה
2026-01-22,קרואסון חמאה,7,יח׳,dropped,31.5,נועה
2026-01-22,סנדוויץ' טונה,1,יח׳,expired,9.0,מיכל
2026-01-22,עוגת גזר (פרוסה),4,יח׳,customer_return,24.0,מיכל
2026-01-23,לימונים,1.08,"ק""ג",expired,8.64,מיכל
2026-01-23,לימונים,0.71,"ק""ג",expired,5.68,מיכל
2026-01-23,סנדוויץ' טונה,3,יח׳,expired,27.0,מיכל
2026-01-23,סנדוויץ' חלומי,1,יח׳,over_prepared,10.0,דני
2026-01-24,חלב 3%,2.54,ליטר,over_prepared,13.21,מיכל
2026-01-24,חלב 3%,2.56,ליטר,expired,13.31,מיכל
2026-01-25,סלט יווני,1,יח׳,customer_return,11.0,נועה
2026-01-25,לימונים,0.36,"ק""ג",expired,2.88,מיכל
2026-01-26,נענע (צרור),3,צרור,expired,12.0,דני
2026-01-26,לימונים,0.7,"ק""ג",expired,5.6,נועה
2026-01-26,סלט יווני,1,יח׳,expired,11.0,דני
2026-01-27,חלב סויה,1.7,ליטר,over_prepared,20.4,מיכל
2026-01-27,סנדוויץ' טונה,3,יח׳,expired,27.0,נועה
2026-01-27,חלב 3%,0.67,ליטר,expired,3.48,דני
2026-01-27,עוגת שוקולד (פרוסה),8,יח׳,expired,56.0,נועה
2026-01-27,חלב סויה,0.78,ליטר,expired,9.36,דני
2026-01-28,עוגת שוקולד (פרוסה),2,יח׳,expired,14.0,נועה
2026-01-28,סלט יווני,1,יח׳,expired,11.0,דני
2026-01-28,שמנת מתוקה,2.77,ליטר,over_prepared,33.24,נועה
2026-01-28,נענע (צרור),3,צרור,expired,12.0,טל
2026-01-28,חלב 3%,0.76,ליטר,expired,3.95,נועה
2026-01-29,לימונים,1.48,"ק""ג",expired,11.84,נועה
2026-01-29,עוגת שוקולד (פרוסה),1,יח׳,expired,7.0,מיכל
2026-01-30,חלב שקדים,3.81,ליטר,over_prepared,60.96,דני
2026-01-31,נענע (צרור),2,צרור,expired,8.0,מיכל
2026-01-31,לימונים,1.4,"ק""ג",expired,11.2,מיכל
2026-01-31,עוגת שוקולד (פרוסה),5,יח׳,dropped,35.0,מיכל
