date,views_instagram,reach,engagement_rate,saves,shares,dm_inquiries,reservations,walkins,revenue_ils,notes
2026-02-03,1240,890,4.2,18,7,3,2,,,teaser post 1 — בסדר
2026-02-04,820,610,3.1,9,3,1,1,,,
2026-02-05,650,510,2.8,6,2,0,0,,,חלש
2026-02-06,1100,780,3.9,15,5,4,3,,,
2026-02-07,3400,2200,6.8,52,21,12,18,,,פתיחת הזמנות — דחיפה ראשונה
2026-02-08,1800,1300,4.5,22,8,6,9,,,
2026-02-09,2100,1500,5.1,28,11,8,7,,,
2026-02-10,5200,3800,7.9,89,34,21,24,,,ממומן התחיל ₪800
2026-02-11,4100,3000,6.4,61,22,15,16,,,
2026-02-12,3800,2700,6.1,55,19,11,12,,,
2026-02-13,6100,4400,8.2,98,41,28,19,,,תזכורת אחרונה
2026-02-14,,,,,,,,67,8945,היום עצמו — 67 כיסאות תפוסים מתוך 80
2026-02-15,2200,1600,5.8,45,18,4,,,,post-event thank you
