brand,country,price_per_liter_nis,foamability,taste,sweetness,barista_edition,availability,supplier,notes
Oatly Barista,Sweden,12.50,excellent,neutral-creamy,low,yes,everywhere,Tnuva distribution,"הסטנדרט. עובד תמיד. קצת משעמם."
Oatly Original,Sweden,9.80,poor,neutral,low,no,everywhere,Tnuva,"לא לקפה. לקוחות שלוקחים הביתה."
Califia Barista Blend,USA,16.20,very good,rich-vanilla-undertone,medium,yes,limited,Direct importer (Greenland),"טעם יותר עשיר. יקר. יבוא לא יציב."
Minor Figures,UK,15.00,excellent,clean-slight-cereal,low,yes,growing,Sangria importer,"אהבתי מאוד. אצל Cafelix משתמשים. צריך לבדוק מחיר סיטונאי."
Pacific Foods Barista,USA,14.80,good,creamy-mild-sweet,medium,yes,sporadic,Tiv Taam mostly,"זמינות בעייתית. לא לסמוך עליו."
Alpro Barista,Belgium,11.50,good,slight-bean-aftertaste,low,yes,everywhere,Tnuva,"אלטרנטיבה זולה ל-Oatly. טעם פחות נקי."
Yofix אבוקדו,Israel,13.50,fair,unique-nutty,low,no,boutique,Direct,"לא חלב שיבולת אבל כדאי לבחון. ישראלי."
Tnuva שיבולת שועל,Israel,8.90,poor-fair,watery,low,no,everywhere,Tnuva,"זול. לא ראוי לאספרסו. אולי למאפים?"
Yoplait Avena,France,unknown,unknown,unknown,unknown,unknown,not in Israel,N/A,"מעניין. שאלתי יבואן — אולי Q3."
Planet Oat,USA,unknown,unknown,unknown,unknown,no,not in Israel,N/A,"לא יבוא לכאן בקרוב."
Elmhurst Milked Oats,USA,21.00,fair,clean-natural,zero,no,boutique only,Wholefoods style stores,"clean label, יקר מדי לבר רגיל."
Chobani Oat,USA,unknown,unknown,unknown,unknown,yes,not yet,N/A,"השמועות אומרות שיגיע 2026."
שיבולת קוקי (פרטית),Israel,7.50,bad,artificial,high,no,supermarkets,N/A,"לא. בשום מצב."
