Date,Visitors,Sessions,Pageviews,Bounce Rate %,Avg Session Duration (sec),Top Source,New Visitors %
2026-01-01,4,4,12,80,49,Direct,43
2026-01-02,4,4,8,85,22,Direct,40
2026-01-03,6,7,14,91,21,Instagram,47
2026-01-04,11,14,14,86,93,Google,35
2026-01-05,5,8,8,80,37,Direct,56
2026-01-06,4,4,8,75,63,Referral,57
2026-01-07,12,14,14,86,86,Direct,59
2026-01-08,4,6,18,91,64,Instagram,47
2026-01-09,4,4,12,79,55,Direct,49
2026-01-10,4,7,7,86,64,Direct,58
2026-01-11,8,9,27,80,27,Instagram,75
2026-01-12,5,6,6,86,66,Google,75
2026-01-13,11,12,36,82,25,Direct,37
2026-01-14,8,11,11,74,45,Instagram,55
2026-01-15,6,9,18,92,76,Direct,51
2026-01-16,5,6,18,89,86,Google,72
2026-01-17,9,12,12,79,35,Instagram,66
2026-01-18,4,4,4,76,38,Referral,78
2026-01-19,9,9,18,84,94,Google,68
2026-01-20,7,7,21,75,86,Referral,52
2026-01-21,8,8,8,85,38,Google,35
2026-01-22,7,8,16,75,56,Referral,75
2026-01-23,11,12,12,83,38,Instagram,68
2026-01-24,3,5,10,72,32,Google,54
2026-01-25,6,6,6,90,28,Direct,66
2026-01-26,4,5,5,93,78,Instagram,45
2026-01-27,7,10,10,89,43,Facebook,54
2026-01-28,9,11,22,88,75,Direct,50
2026-01-29,6,6,6,72,93,Instagram,49
2026-01-30,12,13,13,74,25,Direct,39
2026-01-31,3,5,5,88,48,Google,77

TOTAL,206,,,,,,
# Notes,Total visitors this month: 206,Very low traffic.,Bounce rate consistently >80% — site barely engages.,,,,
