date,rank,item,quantity,revenue
2026-01-01,1,לאטה,40,800
2026-01-01,2,קפוצ'ינו,34,612
2026-01-01,3,אמריקנו,33,462
2026-01-01,4,אספרסו,26,312
2026-01-01,5,קרואסון חמאה,25,400
2026-01-01,6,פלט וויט,19,361
2026-01-01,7,טוסט גבינה,19,418
2026-01-01,8,עוגת גזר,13,312
2026-01-01,9,מאפה גבינה,12,240
2026-01-01,10,אייס לאטה,11,264
2026-01-02,1,קרואסון חמאה,34,544
2026-01-02,2,קפוצ'ינו,32,576
2026-01-02,3,אמריקנו,28,392
2026-01-02,4,לאטה,27,540
2026-01-02,5,אספרסו,24,288
2026-01-02,6,פלט וויט,22,418
2026-01-02,7,שקשוקה,19,798
2026-01-02,8,טוסט גבינה,16,352
2026-01-02,9,קרואסון שוקולד,14,252
2026-01-02,10,עוגת גזר,12,288
2026-01-04,1,לאטה,31,620
2026-01-04,2,קפוצ'ינו,28,504
2026-01-04,3,אמריקנו,28,392
2026-01-04,4,אספרסו,22,264
2026-01-04,5,קרואסון חמאה,18,288
2026-01-04,6,פלט וויט,16,304
2026-01-04,7,טוסט גבינה,16,352
2026-01-04,8,עוגת גזר,12,288
2026-01-04,9,מאפה גבינה,12,240
2026-01-04,10,אייס לאטה,9,216
2026-01-05,1,לאטה,35,700
2026-01-05,2,קפוצ'ינו,34,612
2026-01-05,3,אמריקנו,28,392
2026-01-05,4,קרואסון חמאה,24,384
2026-01-05,5,אספרסו,22,264
2026-01-05,6,פלט וויט,17,323
2026-01-05,7,טוסט גבינה,17,374
2026-01-05,8,עוגת גזר,12,288
2026-01-05,9,מאפה גבינה,12,240
2026-01-05,10,אייס לאטה,11,264
2026-01-06,1,קפוצ'ינו,37,666
2026-01-06,2,לאטה,36,720
2026-01-06,3,אמריקנו,26,364
2026-01-06,4,קרואסון חמאה,24,384
2026-01-06,5,אספרסו,21,252
2026-01-06,6,פלט וויט,20,380
2026-01-06,7,טוסט גבינה,18,396
2026-01-06,8,אייס לאטה,13,312
2026-01-06,9,עוגת גזר,12,288
2026-01-06,10,מאפה גבינה,11,220
2026-01-07,1,קפוצ'ינו,37,666
2026-01-07,2,לאטה,32,640
2026-01-07,3,אמריקנו,29,406
2026-01-07,4,אספרסו,23,276
2026-01-07,5,קרואסון חמאה,21,336
2026-01-07,6,פלט וויט,20,380
2026-01-07,7,טוסט גבינה,16,352
2026-01-07,8,מאפה גבינה,14,280
2026-01-07,9,עוגת גזר,13,312
2026-01-07,10,אייס לאטה,11,264
2026-01-08,1,קפוצ'ינו,39,702
2026-01-08,2,לאטה,36,720
2026-01-08,3,אמריקנו,32,448
2026-01-08,4,אספרסו,23,276
2026-01-08,5,קרואסון חמאה,19,304
2026-01-08,6,פלט וויט,18,342
2026-01-08,7,טוסט גבינה,18,396
2026-01-08,8,מאפה גבינה,13,260
2026-01-08,9,אייס לאטה,13,312
2026-01-08,10,עוגת גזר,12,288
2026-01-09,1,לאטה,35,700
2026-01-09,2,קרואסון חמאה,33,528
2026-01-09,3,אמריקנו,32,448
2026-01-09,4,קפוצ'ינו,31,558
2026-01-09,5,אספרסו,28,336
2026-01-09,6,פלט וויט,22,418
2026-01-09,7,שקשוקה,16,672
2026-01-09,8,טוסט גבינה,15,330
2026-01-09,9,עוגת גזר,15,360
2026-01-09,10,קרואסון שוקולד,14,252
2026-01-11,1,קפוצ'ינו,32,576
2026-01-11,2,לאטה,24,480
2026-01-11,3,אמריקנו,24,336
2026-01-11,4,אספרסו,21,252
2026-01-11,5,פלט וויט,18,342
2026-01-11,6,קרואסון חמאה,16,256
2026-01-11,7,טוסט גבינה,16,352
2026-01-11,8,עוגת גזר,11,264
2026-01-11,9,מאפה גבינה,11,220
2026-01-11,10,אייס לאטה,11,264
2026-01-12,1,לאטה,40,800
2026-01-12,2,קפוצ'ינו,33,594
2026-01-12,3,אמריקנו,30,420
2026-01-12,4,אספרסו,23,276
2026-01-12,5,קרואסון חמאה,23,368
2026-01-12,6,טוסט גבינה,19,418
2026-01-12,7,פלט וויט,18,342
2026-01-12,8,מאפה גבינה,14,280
2026-01-12,9,עוגת גזר,12,288
2026-01-12,10,אייס לאטה,12,288
2026-01-13,1,קפוצ'ינו,44,792
2026-01-13,2,לאטה,40,800
2026-01-13,3,אמריקנו,34,476
2026-01-13,4,אספרסו,28,336
2026-01-13,5,פלט וויט,22,418
2026-01-13,6,קרואסון חמאה,20,320
2026-01-13,7,טוסט גבינה,19,418
2026-01-13,8,עוגת גזר,14,336
2026-01-13,9,אייס לאטה,13,312
2026-01-13,10,מאפה גבינה,12,240
