timestamp,employee,duration_open,flag
2026-01-04 18:05:46,מיכל,31s,
2026-01-07 10:24:55,טל,12s,
2026-01-08 21:59:03,דני,70s,
2026-01-15 18:26:44,טל,24s,
2026-01-15 18:29:01,נועה,34s,
2026-01-18 13:29:39,נועה,11s,
2026-01-18 16:47:11,נועה,29s,
2026-01-18 18:02:25,נועה,24s,
2026-01-20 13:54:15,נועה,31s,
2026-01-21 18:49:54,מיכל,17s,
2026-01-22 07:06:06,נועה,40s,
2026-01-23 08:49:37,טל,32s,
2026-01-25 14:46:38,נועה,27s,
2026-01-27 21:08:37,דני,79s,FLAG - פתיחה ארוכה ללא מכירה
2026-02-01 08:29:20,נועה,22s,
2026-02-03 08:00:10,נועה,30s,
2026-02-03 13:08:30,טל,30s,
2026-02-04 08:29:00,טל,22s,
2026-02-06 10:20:59,נועה,35s,
2026-02-06 21:48:03,דני,234s,FLAG - פתיחה ארוכה ללא מכירה
2026-02-08 14:24:22,מיכל,31s,
2026-02-08 18:58:03,טל,21s,
2026-02-09 14:39:41,נועה,8s,
2026-02-13 07:46:07,נועה,36s,
2026-02-15 16:09:58,דני,31s,
2026-02-24 18:47:39,נועה,17s,
2026-03-02 20:21:52,דני,238s,FLAG - פתיחה ארוכה ללא מכירה
2026-03-03 20:02:30,דני,122s,FLAG - פתיחה ארוכה ללא מכירה
2026-03-05 08:17:05,דני,30s,
2026-03-08 10:15:48,נועה,34s,
2026-03-08 13:14:34,נועה,8s,
2026-03-08 21:46:57,דני,110s,FLAG - פתיחה ארוכה ללא מכירה
2026-03-09 16:10:03,נועה,28s,
2026-03-11 08:49:55,נועה,31s,
2026-03-13 10:35:36,נועה,18s,
2026-03-13 20:51:27,דני,145s,FLAG - פתיחה ארוכה ללא מכירה
2026-03-15 08:55:08,מיכל,30s,
2026-03-15 20:29:32,דני,187s,FLAG - פתיחה ארוכה ללא מכירה
2026-03-16 07:51:09,נועה,21s,
2026-03-16 13:20:37,דני,23s,
2026-03-17 16:54:54,מיכל,8s,
2026-03-19 14:52:06,דני,29s,
2026-03-22 10:41:23,נועה,10s,
2026-03-22 14:12:47,נועה,24s,
2026-03-22 16:02:13,מיכל,27s,
2026-03-23 07:51:43,דני,13s,
2026-03-24 14:00:23,נועה,22s,
2026-03-25 21:41:43,דני,94s,FLAG - פתיחה ארוכה ללא מכירה
2026-03-26 07:07:32,נועה,26s,
2026-03-29 16:22:25,נועה,15s,
2026-03-29 18:43:41,דני,28s,
2026-04-02 07:00:48,דני,18s,
2026-04-03 21:45:18,דני,142s,FLAG - פתיחה ארוכה ללא מכירה
2026-04-06 18:10:23,נועה,26s,
2026-04-07 20:51:58,דני,201s,FLAG - פתיחה ארוכה ללא מכירה
2026-04-09 14:32:08,דני,11s,
2026-04-10 16:06:13,מיכל,17s,
2026-04-12 13:38:04,נועה,28s,
2026-04-14 07:15:31,נועה,40s,
2026-04-14 10:17:14,דני,22s,
2026-04-14 14:27:42,נועה,9s,
2026-04-14 21:26:24,דני,220s,FLAG - פתיחה ארוכה ללא מכירה
2026-04-15 13:13:31,נועה,34s,
2026-04-15 14:26:27,דני,32s,
2026-04-15 18:27:41,דני,15s,
2026-04-16 14:39:09,נועה,25s,
2026-04-19 10:13:28,נועה,32s,
2026-04-19 21:57:06,דני,82s,FLAG - פתיחה ארוכה ללא מכירה
2026-04-21 08:58:46,נועה,21s,
2026-04-21 18:49:04,דני,23s,
2026-04-23 08:17:41,נועה,15s,
2026-04-23 16:56:41,נועה,12s,
2026-04-29 18:05:25,נועה,32s,
2026-05-01 18:50:34,דני,10s,
2026-05-11 14:50:52,טל,24s,
