date,original_transaction,amount,reason,authorized_by
2026-01-08,TXN-20260108-346,14,שגיאת קופה - חיוב כפול,נועה
2026-01-25,TXN-20260125-955,22,חלב נשפך על השולחן,דני
2026-01-25,TXN-20260125-716,28,לקוח שינה דעתו לפני הגשה,דני
2026-01-25,TXN-20260125-556,22,שגיאת קופה - חיוב כפול,דני
2026-01-30,TXN-20260130-145,24,לקוח התלונן על שירות,דני
2026-02-11,TXN-20260211-213,84,חלב סויה במקום שיבולת שועל,מיכל
2026-02-19,TXN-20260219-205,22,חלב סויה במקום שיבולת שועל,נועה
2026-02-22,TXN-20260222-986,24,הקפה היה מר מדי - מכונה דרשה כיול,מיכל
2026-02-24,TXN-20260224-627,24,חלב נשפך על השולחן,דני
2026-03-06,TXN-20260306-213,34,לקוח שינה דעתו לפני הגשה,נועה
2026-03-18,TXN-20260318-148,22,מאפה נפל על הרצפה,דני
2026-03-29,TXN-20260329-547,14,הקפה היה מר מדי - מכונה דרשה כיול,דני
2026-04-05,TXN-20260405-950,24,חלב סויה במקום שיבולת שועל,נועה
2026-04-15,TXN-20260415-137,34,חלב סויה במקום שיבולת שועל,מיכל
2026-04-16,TXN-20260416-291,32,עוגת גזר נגמרה אחרי שחויב,טל
2026-04-20,TXN-20260420-169,14,הזמנה לא נכונה - בריסטה התבלבל,נועה
2026-04-23,TXN-20260423-684,24,חלב נשפך על השולחן,דני
2026-04-23,TXN-20260423-557,34,הזמנה לא נכונה - בריסטה התבלבל,דני
2026-05-01,TXN-20260501-144,22,חלב נשפך על השולחן,דני
2026-05-03,TXN-20260503-164,18,עוגת גזר נגמרה אחרי שחויב,טל
2026-05-04,TXN-20260504-359,32,חלב נשפך על השולחן,נועה
2026-05-11,TXN-20260511-747,42,לקוח התלונן על שירות,דני
2026-05-11,TXN-20260511-920,24,עוגת גזר נגמרה אחרי שחויב,דני
2026-05-15,TXN-20260515-398,20,לקוח התלונן על שירות,דני
2026-05-18,TXN-20260518-499,42,חלב סויה במקום שיבולת שועל,דני
