timestamp,device_id,duration,data_used
2026-01-01 07:27,Guest-060,26min,151MB
2026-01-01 07:39,Guest-020,83min,163MB
2026-01-01 08:00,iPad-Avi,37min,102MB
2026-01-01 08:02,Guest-017,47min,36MB
2026-01-01 08:28,Guest-003,30min,170MB
2026-01-01 09:41,Guest-050,58min,56MB
2026-01-01 09:58,Guest-055,50min,59MB
2026-01-01 10:01,iPhone-Arnon,346min,1156MB
2026-01-01 10:34,Guest-068,85min,210MB
2026-01-01 11:56,Guest-024,40min,119MB
2026-01-01 11:56,Guest-032,68min,110MB
2026-01-01 15:17,Guest-071,12min,27MB
2026-01-01 15:43,Guest-051,8min,102MB
2026-01-01 18:12,iPhone-Dana,48min,106MB
2026-01-01 19:04,Guest-075,38min,213MB
2026-01-02 07:14,Guest-063,16min,19MB
2026-01-02 07:37,Guest-042,7min,42MB
2026-01-02 07:54,Guest-069,33min,152MB
2026-01-02 08:04,Guest-019,72min,98MB
2026-01-02 10:17,Guest-013,89min,66MB
2026-01-02 10:20,iPhone-Ruti,43min,53MB
2026-01-02 10:30,Guest-078,7min,139MB
2026-01-02 11:30,iPhone-Arnon,462min,1535MB
2026-01-02 11:32,MBP-Arnon,368min,1958MB
2026-01-02 13:01,Guest-076,50min,156MB
2026-01-02 13:15,Guest-050,27min,50MB
2026-01-02 13:46,Guest-039,22min,45MB
2026-01-02 13:51,Guest-001,83min,56MB
2026-01-02 13:54,Guest-017,27min,210MB
2026-01-02 14:21,Guest-048,80min,30MB
2026-01-02 15:11,Guest-025,74min,84MB
2026-01-02 15:11,Guest-056,88min,86MB
2026-01-02 18:03,MBP-Shira,119min,183MB
2026-01-02 19:36,Guest-046,77min,41MB
2026-01-04 07:10,Guest-062,60min,172MB
2026-01-04 07:28,Guest-014,11min,103MB
2026-01-04 08:20,Guest-043,35min,93MB
2026-01-04 08:46,Guest-022,90min,168MB
2026-01-04 08:50,Guest-032,49min,70MB
2026-01-04 08:56,Guest-014,48min,48MB
2026-01-04 09:44,iPhone-Ruti,113min,40MB
2026-01-04 09:51,Guest-029,62min,23MB
2026-01-04 09:56,Guest-054,57min,131MB
2026-01-04 09:57,Guest-049,14min,145MB
2026-01-04 10:37,iPhone-Arnon,337min,2163MB
2026-01-04 11:16,Guest-005,7min,86MB
2026-01-04 11:44,MBP-Arnon,358min,2303MB
2026-01-04 13:06,Guest-049,74min,101MB
2026-01-04 13:57,Guest-012,81min,162MB
2026-01-04 14:40,MBP-Ilan,60min,153MB
2026-01-04 15:13,Guest-043,6min,72MB
2026-01-04 19:43,Guest-062,88min,199MB
2026-01-05 08:18,iPhone-Dana,74min,84MB
2026-01-05 08:51,Guest-013,90min,93MB
2026-01-05 09:35,MBP-Arnon,384min,2227MB
2026-01-05 10:06,MBP-Shira,58min,161MB
2026-01-05 10:18,Guest-004,26min,168MB
2026-01-05 11:06,iPhone-Arnon,320min,909MB
2026-01-05 13:02,Guest-049,28min,119MB
2026-01-05 14:09,iPad-Avi,90min,291MB
2026-01-05 14:34,Guest-008,71min,112MB
2026-01-05 14:35,Guest-070,80min,63MB
2026-01-05 14:36,Guest-011,9min,133MB
2026-01-05 15:14,Guest-034,64min,72MB
2026-01-05 15:16,Guest-051,67min,174MB
2026-01-05 15:50,Guest-011,19min,83MB
2026-01-05 18:23,Guest-012,54min,52MB
2026-01-05 19:07,Guest-067,84min,42MB
2026-01-05 19:19,Guest-061,35min,126MB
2026-01-05 19:48,Guest-035,12min,43MB
2026-01-06 07:29,Guest-026,36min,13MB
2026-01-06 08:06,Guest-013,77min,204MB
2026-01-06 08:12,iPhone-Ruti,107min,262MB
2026-01-06 08:13,Guest-078,29min,118MB
2026-01-06 09:08,MBP-Arnon,334min,1194MB
2026-01-06 09:09,Guest-005,40min,108MB
2026-01-06 09:37,Guest-020,77min,155MB
2026-01-06 10:30,Guest-043,11min,195MB
2026-01-06 10:47,Guest-013,22min,81MB
2026-01-06 11:31,Guest-039,40min,220MB
2026-01-06 13:23,Guest-007,30min,75MB
2026-01-06 13:26,Guest-057,39min,191MB
2026-01-06 13:35,iPhone-Gili,91min,243MB
2026-01-06 13:52,Guest-035,7min,91MB
2026-01-06 14:54,Guest-065,22min,204MB
2026-01-06 14:56,Guest-078,9min,106MB
2026-01-06 15:30,Guest-050,78min,160MB
2026-01-06 15:52,Guest-053,71min,100MB
2026-01-06 18:16,Guest-037,49min,110MB
2026-01-06 18:19,Guest-008,25min,21MB
2026-01-06 18:26,Guest-076,58min,33MB
2026-01-06 18:50,Guest-036,63min,8MB
2026-01-06 19:12,Guest-068,8min,49MB
2026-01-07 07:42,Guest-031,81min,108MB
2026-01-07 07:58,Guest-066,6min,126MB
2026-01-07 08:49,MBP-Shira,40min,332MB
2026-01-07 09:00,Guest-017,81min,210MB
2026-01-07 09:05,Guest-072,47min,172MB
2026-01-07 09:18,Galaxy-Yossi,53min,86MB
2026-01-07 09:31,Guest-041,8min,172MB
2026-01-07 09:51,Guest-061,38min,190MB
2026-01-07 10:28,MBP-Arnon,405min,2016MB
2026-01-07 10:43,Guest-033,64min,82MB
2026-01-07 10:48,Guest-039,24min,137MB
2026-01-07 10:50,Guest-044,73min,168MB
2026-01-07 11:04,Guest-037,18min,128MB
2026-01-07 11:19,Guest-029,82min,211MB
2026-01-07 11:24,Guest-038,58min,108MB
2026-01-07 11:43,iPhone-Arnon,442min,1053MB
2026-01-07 11:55,Guest-044,86min,88MB
2026-01-07 11:57,Guest-036,88min,187MB
2026-01-07 13:54,Guest-061,69min,81MB
2026-01-07 13:55,Guest-029,33min,195MB
2026-01-07 14:16,Guest-040,47min,100MB
2026-01-07 14:29,Guest-036,53min,94MB
2026-01-07 18:06,Guest-022,28min,80MB
2026-01-07 18:35,iPhone-Ruti,80min,340MB
2026-01-07 18:38,Guest-048,87min,157MB
2026-01-07 18:53,Guest-001,89min,220MB
2026-01-07 19:06,Guest-067,55min,154MB
2026-01-07 19:12,Guest-005,78min,213MB
2026-01-08 07:46,Guest-001,73min,56MB
2026-01-08 07:53,Guest-048,46min,198MB
2026-01-08 08:18,Guest-022,10min,81MB
2026-01-08 09:14,Guest-025,56min,9MB
2026-01-08 09:21,Guest-041,15min,129MB
2026-01-08 09:22,Guest-056,48min,130MB
2026-01-08 09:40,Guest-012,83min,116MB
2026-01-08 09:55,MBP-Shira,84min,101MB
2026-01-08 10:00,Guest-068,7min,178MB
2026-01-08 10:08,Guest-032,49min,84MB
2026-01-08 11:03,iPhone-Arnon,310min,1763MB
2026-01-08 11:49,Guest-058,31min,199MB
2026-01-08 13:00,Guest-023,86min,19MB
2026-01-08 14:09,Guest-044,77min,122MB
2026-01-08 14:19,Guest-014,69min,155MB
2026-01-08 14:24,Guest-055,59min,127MB
2026-01-08 18:21,Guest-059,81min,139MB
2026-01-08 19:50,Guest-022,25min,130MB
2026-01-09 07:41,Guest-006,22min,174MB
2026-01-09 07:51,Guest-023,42min,97MB
2026-01-09 07:58,Guest-001,90min,27MB
2026-01-09 08:17,Guest-054,89min,138MB
2026-01-09 08:21,Guest-035,52min,213MB
2026-01-09 08:24,iPhone-Dana,73min,267MB
2026-01-09 08:29,Guest-024,56min,107MB
2026-01-09 08:38,Guest-015,68min,55MB
2026-01-09 08:41,MBP-Shira,104min,95MB
2026-01-09 09:01,iPhone-Arnon,334min,2303MB
2026-01-09 09:45,MBP-Arnon,311min,1550MB
2026-01-09 09:57,Guest-078,58min,217MB
2026-01-09 10:13,MBP-Ilan,80min,118MB
2026-01-09 10:15,Guest-064,66min,89MB
2026-01-09 11:06,Guest-038,64min,17MB
