invoice_id,service_date,vendor,service_type,amount,vat,total,paid_date,notes
INV-2025001,2025-01-06,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-01-20,
INV-2025002,2025-01-13,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-01-27,
INV-2025003,2025-01-20,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-02-03,
INV-2025004,2025-01-27,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-02-10,
INV-2025005,2025-02-03,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-02-17,
INV-2025006,2025-02-10,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-02-24,
INV-2025007,2025-02-17,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-03-03,
INV-2025008,2025-02-24,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-03-10,
INV-2025009,2025-03-03,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-03-17,
INV-2025010,2025-03-10,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-03-24,
INV-2025011,2025-03-17,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-03-31,
INV-2025012,2025-03-24,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-04-07,
INV-2025013,2025-03-31,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-04-14,
INV-2025014,2025-04-07,ניקיון פרו - רוני כהן,ניקיון עומק,950.0,161.5,1111.5,2025-04-21,ניקיון עומק לפסח
INV-2025015,2025-04-14,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-04-28,
INV-2025016,2025-04-21,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-05-05,
INV-2025017,2025-04-28,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-05-12,
INV-2025018,2025-05-05,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-05-19,
INV-2025019,2025-05-12,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-05-26,
