month,kwh_used,base_charge,vat,total,due_date,paid_date,notes
2025-01,1820,45.0,305.42,1986.42,2025-02-15,2025-02-10,חורף - תאורה ומקררים
2025-02,1755,45.0,294.45,1914.45,2025-03-15,2025-03-12,חודש קצר
2025-03,1890,45.0,316.73,2058.73,2025-04-15,2025-04-11,התחיל להתחמם
2025-04,2100,45.0,352.17,2289.17,2025-05-15,2025-05-14,פסח - שעות פתיחה ארוכות
2025-05,2680,45.0,449.94,2924.94,2025-06-15,2025-06-10,התחלנו להפעיל מזגנים
2025-06,3420,45.0,574.83,3735.83,2025-07-15,2025-07-13,גל חום - מזגנים על פול
2025-07,3890,45.0,653.83,4248.83,2025-08-15,2025-08-12,שיא הקיץ - כל המזגנים 24/7
2025-08,3750,45.0,630.36,4097.36,2025-09-15,2025-09-10,"עדיין חם, פחות מ-יולי"
2025-09,2890,45.0,485.61,3157.61,2025-10-15,2025-10-13,ירידה בחום
2025-10,4120,45.0,692.34,4499.34,2025-11-15,2025-11-20,"!! חשבון מוזר - גבוה משיא הקיץ. בדקנו את המזגן, הכל תקין. אחרי שבועיים גילינו שהמקרר הגדול עובד על מקסימום ולא מקרר טוב. הזעקנו טכנאי"
2025-11,2150,45.0,361.13,2356.13,2025-12-15,2025-12-11,אחרי החלפת מקרר - חזרנו לנורמלי
2025-12,2010,45.0,337.65,2202.65,2026-01-15,2026-01-09,"סוף שנה - חופשות, פחות לקוחות"
