period,cylinders_used,price_per_cylinder,base_charge,total,due_date,paid_date,notes
2025-01,8,220.0,35.0,1795.0,2025-02-10,2025-02-08,"חורף - מרק חם, יותר בישול"
2025-02,7,220.0,35.0,1575.0,2025-03-10,2025-03-09,
2025-03,8,220.0,35.0,1795.0,2025-04-10,2025-04-07,
2025-04,9,225.0,35.0,2060.0,2025-05-10,2025-05-09,"פסח - הרבה אירוח, מחיר עלה"
2025-05,7,225.0,35.0,1610.0,2025-06-10,2025-06-08,
2025-06,6,225.0,35.0,1385.0,2025-07-10,2025-07-09,"קיץ - יותר סלטים, פחות בישול"
2025-07,6,225.0,35.0,1385.0,2025-08-10,2025-08-08,
2025-08,5,225.0,35.0,1160.0,2025-09-10,2025-09-07,השפל בקיץ
2025-09,7,225.0,35.0,1610.0,2025-10-10,2025-10-09,חזרה לעבודה
2025-10,8,230.0,35.0,1875.0,2025-11-10,2025-11-08,"סוכות - הרבה לקוחות, מחיר עלה שוב"
2025-11,9,230.0,35.0,2105.0,2025-12-10,2025-12-09,חורף מתחיל
2025-12,10,230.0,35.0,2335.0,2026-01-10,2026-01-08,"שיא חורף - מרקים, חמין"
