month,provider,plan,speed_mbps,monthly_price,vat,total,paid_date,notes
2024-06,בזק,עסקי בייסיק,100,149.0,25.33,174.33,2024-07-05,החבילה הראשונה
2024-07,בזק,עסקי בייסיק,100,149.0,25.33,174.33,2024-08-05,
2024-08,בזק,עסקי בייסיק,100,149.0,25.33,174.33,2024-09-05,
2024-09,בזק,עסקי בייסיק,100,149.0,25.33,174.33,2024-10-05,הוויפי נופל כל הזמן
2024-10,בזק,עסקי פלוס,200,199.0,33.83,232.83,2024-11-05,שדרוג 1 - יותר רוחב פס ללקוחות
2024-11,בזק,עסקי פלוס,200,199.0,33.83,232.83,2024-12-05,
2024-12,בזק,עסקי פלוס,200,199.0,33.83,232.83,2025-01-05,
2025-01,בזק,עסקי פלוס,200,199.0,33.83,232.83,2025-02-05,
2025-02,בזק,עסקי פלוס,200,199.0,33.83,232.83,2025-03-05,
2025-03,בזק,עסקי פלוס,200,199.0,33.83,232.83,2025-04-05,
2025-04,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-05-05,שדרוג 2 - הוספנו מצלמות אבטחה ומערכת קופה ענן
2025-05,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-06-05,
2025-06,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-07-05,
2025-07,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-08-05,
2025-08,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-09-05,
2025-09,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-10-05,
2025-10,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-11-05,המהירות מספיקה כרגע
2025-11,בזק,עסקי פרו,500,289.0,49.13,338.13,2025-12-05,
2025-12,בזק,עסקי פרו,500,289.0,49.13,338.13,2026-01-05,
2026-01,HOT,Business Gigabit,1000,359.0,61.03,420.03,2026-02-05,"שדרוג 3 - עברנו ל-HOT, הוספנו סדנאות, סטרימינג חי, צריך גיגה"
2026-02,HOT,Business Gigabit,1000,359.0,61.03,420.03,2026-03-05,
2026-03,HOT,Business Gigabit,1000,359.0,61.03,420.03,2026-04-05,
2026-04,HOT,Business Gigabit,1000,359.0,61.03,420.03,2026-05-05,
2026-05,HOT,Business Gigabit,1000,359.0,61.03,420.03,2026-06-05,
