month,cubic_meters,base_charge,vat,total,due_date,paid_date,notes
2025-01,28,32.0,47.43,308.43,2025-02-20,2025-02-15,צריכה רגילה
2025-02,26,32.0,44.51,289.51,2025-03-20,2025-03-18,
2025-03,30,32.0,50.34,327.34,2025-04-20,2025-04-17,
2025-04,32,32.0,53.27,346.27,2025-05-20,2025-05-15,פסח
2025-05,34,32.0,56.19,365.19,2025-06-20,2025-06-18,
2025-06,38,32.0,61.94,402.94,2025-07-20,2025-07-19,קיץ - יותר שטיפות
2025-07,40,32.0,64.86,421.86,2025-08-20,2025-08-15,קיץ
2025-08,39,32.0,63.41,412.41,2025-09-20,2025-09-19,
2025-09,33,32.0,54.73,355.73,2025-10-20,2025-10-15,
2025-10,31,32.0,51.8,336.8,2025-11-20,2025-11-18,
2025-11,29,32.0,48.88,317.88,2025-12-20,2025-12-15,
2025-12,27,32.0,45.96,298.96,2026-01-20,2026-01-19,
2026-01,30,32.0,50.34,327.34,2026-02-20,2026-02-18,תחילת שנה
2026-02,32,32.0,53.27,346.27,2026-03-20,2026-03-19,הכל רגיל
2026-03,87,32.0,137.92,924.92,2026-04-20,2026-04-22,!!! קפיצה ענקית. בדקנו במונה - הכל זרם גם בלילה. נזילה בשירותים - אסלה דלפה כל הלילה. תיקנו ב-15.03 אבל החשבון כבר היה
2026-04,35,32.0,58.39,380.39,2026-05-20,2026-05-17,אחרי תיקון - חזר לנורמלי
